seq	AlphaPubDate	PathID	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	matchquality	isfiction	singlework	actualtitle	actualauthor	howpositive	genresnamed	comments
320	Jan 7, 1832	20160128000326_00005	1832	5216937	The Invasion.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Griffin, Gerald	1832.0	The invasion	2.132857142857143							
321	Aug 1825	20160127231107_00001	1825	5708637	OUR VILLAGE: SKETCHES OF RURAL CHARACTER AND SCENERY.	Edinburgh magazine and literary miscellany	Mitford, Mary Russell	1825.0	Our village sketches of rural character and scenery	3.236300745292143							
322	May 1839	20160127224123_00002	1839	4518064	THE POETS OF ENGLAND WHO HAVE DIED YOUNG.	The Cambridge University Magazine											
323	Jan 20, 1872	20160127190311_00003	1872	8685978	The Lady of Limited Income.	The Athenaeum	Manning, Anne	1872.0	The lady of limited income	3.315208333333333							
324	Jun 16, 1855	20160127192053_00005	1855	8620870	Imperial Paris: including New Scenes for Old Visitors.	The Athenaeum											
325	Jun 16, 1838	20160127230351_00004	1838	5258369	Memoirs of Colonel Macerone, Aid-de-camp to Mural.	The Literary gazette : A weekly journal of literature, science, and the fine arts											
326	Aug 8, 1857	20160127191130_00009	1857	8635191	The Poetical Works of Alexander Wilson, with a Memoir.	The Athenaeum	Poe, Edgar Allan	1858.0	The poetical works of Edgar Allan Poe : with original memoir	2.301975485799701							
327	May 1850	20160127192713_00002	1850	4452566	The Old Judge, or Life in a Colony.	Tait's Edinburgh magazine	Haliburton, Thomas Chandler	1849.0	The old judge; or, Life in a colony	2.650719290725149							
328	Jun 1836	20160127231721_00006	1836	5812958	The Library of Fiction; or, the Family Story Teller, consisting of Tales, Essays, and Sketches of Character, Original and Selected.	The Metropolitan magazine,  1833-1840		1836.0	The library of fiction, or, Family storyteller	2.4468073732718896							
329	Apr 22, 1848	20160128001956_00005	1848	8418820	Midsummer Eve: a Fairy Tale of Love.	Examiner	Hall, S. C., Mrs	1848.0	Midsummer Eve: a fairy tale of love	3.5154462287329817							
330	Jun 20, 1835	20160127191949_00014	1835	8775944	Stories of Strange Lands; and Fragments from the Notes of a Traveller.	The Athenaeum	Lee, R., Mrs	1835.0	Stories of strange lands; and fragments from the notes of a traveller	3.8216329906652486							
331	Aug 9, 1862	20160127192053_00005	1862	9446050	The Adventures of Philip on his Way through the World, &c.	The Athenaeum	Thackeray, William Makepeace	1857.0	The adventures of Philip on his way through the world;	3.0803709994032573							
332	Jul 1815	20160128001241_00001	1815	6308096	A Sentimental Journey from London to Greenwich.	The Scourge, or, Literary, theatrical, and miscellaneous magazine	Sterne, Laurence	1810.0	A sentimental journey through France and Italy. : In two volumes	2.359989743589744							
333	Oct 2, 1819	20160127230351_00004	1819	5152945	Some Account of the Life of Rachael Wriothesley, Lady Russell.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822	St. Leger, Barry	1824.0	Some account of the life of the late Gilbert Earle, esq	2.832386425834702							
334	Sep 10, 1887	20160127191130_00009	1887	8761688	Precautions.	The Athenaeum	Majendie, Margaret	1887.0	Precautions	2.15							
335	Mar 18, 1899	20160127191130_00009	1899	6804227	THE CRUISE OF THE GOLDEN WAVE.	The Academy, 1869-1902, 0269-333X	Oscar, W. N	1899.0	The cruise of the Golden Wave	2.9820560915682868							
336	Sep 22, 1900	20160127182915_00001	1900	6798670	THE ISLE OF UNREST.	The Academy, 1869-1902, 0269-333X	Merriman, Henry Seton	1899.0	The isle of unrest	2.56968253968254							
337	Dec 11, 1897	20160127191337_00011	1897	6790816	FANTASIAS.	The Academy, 1869-1902, 0269-333X	Egerton, George	1898.0	Fantasias	2.203333333333333							
338	May 31, 1845	20160127230453_00005	1845	4968966	History of the United States, from the Discovery of the American Continent to the War of Independence.	Critic, 1844-1847	[Hawks, Francis Lister]	1844.0	History of the United States: no. I	2.7129229578010063							
339	Oct 1897	20160127191441_00019	1897	3174445	OLD TIMES IN MIDDLE GEORGIA.	The Bookman	Johnston, Richard Malcolm	1897.0	Old times in middle Georgia	3.1289033878804435							
340	Jan 20, 1883	20160127192508_00001	1883	8883796	'Twixt Shade and Shine.	The Athenaeum	Clarke, Marcus Andrew Hislop	1893.0	'Twixt shadow and shine	2.4507777777777777							
341	Jun 1808	20160127191949_00014	1808	8198572	89. A Letter to the Right Hon. Spencer Perceval, Chancellor of the Exchequer, on a Subject connected with his Bill, now under Discussion in Parliament, for improving the Situation of Stipendiary Curates.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	2.516054545454545							
342	Jan 1910	20160127183323_00005	1910	3180074	THE EDUCATION OF UNCLE PAUL.	The Bookman	Blackwood, Algernon	1909.0	The education of Uncle Paul	2.928499573742541							
343	Nov 5, 1870	20160127192201_00017	1870	8808011	Model Examination Cards.	The Athenaeum											
344	Jan 1800	20160127193123_00003	1800	4566299	St. Leon: a Tale of the Sixteenth Century.	The Critical review, or, Annals of literature	Godwin, William	1801.0	St. Leon: a tale of the sixteenth century	3.5634600389863547							
345	Mar 13, 1915	20160127191439_00002	1915	8978958	The Man and the Moment.	The Athenaeum	Glyn, Elinor	1914.0	The man and the moment	2.6689230769230767							
346	Jun 18, 1864	20160127192611_00010	1864	9430507	Too Strange not to be True: a Tale.	The Athenaeum	Fullerton, Georgiana Charlotte Seveson-Gower, Lady	1864.0	Too strange not to be true. A tale	2.8669973015384165							
347	Sep 1809	20160127234659_00002	1809	4814170	ART. X. History of the Viceroyalty of Buenos Ayres; containing the most accurate Details relative to the Topography, History, Commerce, Population, Government, &c. &c.	Monthly Review, or, Literary Journal, 1752-1825											
348	Dec 18, 1880	20160127192201_00017	1880	6687576	Asgard and the Gods.	The Academy, 1869-1902, 0269-333X	Wägner, W	1880.0	Asgard and the gods : tales and traditions of our northern ancestors : told for boys and girls	2.1149727176999904							
349	Feb 12, 1910	20160127191130_00009	1910	6845882	Margarita's Soul: The Romantic Recollections of a Man of Fifty.	The Academy, 1905-1910	Bacon, Josephine Daskam	1909.0	Margarita's soul : the romantic recollections of a man of fifty	2.8431800865800865							
350	Dec 1892	20160127183527_00008	1892	3151356	A TANGLED WEB.	The Bookman	Raymond, Walter	1899.0	A tangled web	2.2591666666666668							
351	Mar 29, 1828	20160127234659_00002	1828	5217050	The Atlantic Souvenir; a Christmas and New Year's Offering.	The Literary gazette : A weekly journal of literature, science, and the fine arts		1826.0	The Atlantic souvenir; a Christmas and New Year's offering. 1826-1832	3.8208646616541353							
352	Jan 1802	20160127183121_00003	1802	2962627	ART. I. A Voyage round the World, performed during the Years 1790, 1791, and 1792, by ETIENNE MARCHAND, preceded by an historical Introduction, and illustrated by Charts, &c. Translated from the French of C. P. CLARET FLEURIEU, of the National Institute of Arts and Sciences, and of the Board of Longitude of France.	The Annual review ; or Register of literature, 1802	Defoe, Daniel	1809.0	A new voyage round the world	2.1979238095238096							
353	Dec 13, 1879	20160128001855_00004	1879	8836344	"ENCYCLOPAEDIA BRITANNICA."	Examiner											
354	Apr 5, 1851	20160128000328_00006	1851	5173897	The Pilgrims of the Rhine.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Lytton, Edward Bulwer Lytton, Baron	1834.0	The pilgrims of the Rhine	2.546335403726708							
355	Apr 1919	20160127191129_00016	1919	3211254	AN ETHIOPIAN SAGA.	The Bookman	Haigh, Richmond	1919.0	An Ethiopian saga	2.6694117647058824							
356	Oct 22, 1898	20160127191130_00009	1898	6801191	Sea Urchins.	The Academy, 1869-1902, 0269-333X	Jacobs, W. W. (William Wymark)	1898.0	Sea urchins	2.4895445134575565							
357	Sep 15, 1900	20160127191440_00012	1900	6791076	THE DOGS OF WAR.	The Academy, 1869-1902, 0269-333X	Emanuel, Walter Lewis	1906.0	The dogs of war	2.2653763440860213							
358	Jan 4, 1902	20160127192405_00018	1902	6816140	Joe Wilson and His Mates.	The Academy, 1869-1902, 0269-333X	Lawson, Henry	1901.0	Joe Wilson and his mates	3.1494643446137607							
359	Aug 1800	20160127232936_00002	1800	4577536	Narrative of the Shipwreck of the Juno, on the Coast of Aracan, and of the singular Preservation of Fourteen of her Company on the Wreck, without Food, during a Period of Twenty-three Days. In a Letter to his Father, the Rev. Thomas Mackay, Minister of Lairg, Sutherlandshire	The Critical review, or, Annals of literature	Paddock, Judah	1818.0	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	2.3306857142857136							
360	Nov 1919	20160127190105_00008	1919	3200494	CINDERELLA IN THE SOUTH.	The Bookman	Cripps, Arthur Shearly	1918.0	Cinderella in the South;	2.2797536053805856							
361	Aug 14, 1886	20160127191848_00004	1886	8760747	In One Town.	The Athenaeum	Downey, Edmund	1886.0	In one town	2.169576535925026							
362	Sep 4, 1915	20160127192303_00008	1915	9366111	The Freelands.	The Athenaeum	Galsworthy, John	1915.0	The Freelands	2.3633333333333333							
363	Oct 1904	20160127190515_00012	1904	3183191	THE DIVINE FIRE.	The Bookman	Sinclair, May	1904.0	The divine fire	2.3741258318209315							
364	May 1818	20160128001241_00001	1818	6043696	Memoirs of the Life and Writings of the late J. C. Lettsom, M.D F.R.S. &c. with a selection from his Correspondence.	The Literary panorama, 1806-1819	Radcliffe, Ann Ward	1833.0	Memoir of the life and writings of Mrs. Radcliffe. Gaston de Blondeville	2.2555737274220027							
365	Jun 1819	20160127231210_00002	1819	5698403	BIOGRAPHICAL SKETCH OF THE LIFE OF AUGUSTUS VON KOTZEBUE.	Edinburgh magazine and literary miscellany	Nott, Henry Junius	1834.0	Biographical sketch of Thomas Singularity. The Andalusian rope-dancer. The solitary	2.5613888888888887							
366	Jun 30, 1866	20160127193122_00012	1866	9432507	Silas the Conjurer: his Travels and Perils.	The Athenaeum	Greenwood, James	1866.0	Silas the conjurer: his travels and perils	3.5920982117187052							
367	Jan 3, 1880	20160128002916_00002	1880	8617145	ROMAN DAYS.	Examiner											
368	May 1800	20160127234700_00003	1800	4567338	Tales, Anecdotes, and Letters. Translated from the Arabic and Persian.	The Critical review, or, Annals of literature		1800.0	Tales, anecdotes, and letters	3.0117633166626976							
369	Oct 27, 1866	20160127224227_00003	1866	4375475	AFLOAT AND ASHORE	The London review of politics, society, literature, art, and science	Cooper, James Fenimore	1852.0	Afloat and ashore	2.3243873517786557							
370	Jul 15, 1899	20160127192155_00015	1899	6775677	WHEN KNIGHTHOOD WAS IN FLOWER.	The Academy, 1869-1902, 0269-333X	Major, Charles	1898.0	When knighthood was in flower; or, The love story of Charles Brandon and Mary Tudor, the king's sister, and happening in the reign of ... Henry VIII;	3.088194026104418							
371	Mar 10, 1866	20160127192713_00002	1866	4375018	THE ETHICS OF THE DUST.	The London review of politics, society, literature, art, and science	Ruskin, John	1880.0	The ethics of the dust : or Elements of crystallization	2.533577787837633							
372	Jul 1802	20160127190207_00009	1802	3917135	Secret Memoirs of the Court of Petersburgh, particularly towards the Close of the Reign of Catharine II. and the Commencement of that of Paul I. containing a Number of Anecdotes and historical Facts respecting the Persian War, the March of the Russian Armies against France, the Disgrace and Death of Suvarrof, the financial Operations of Paul I. his domestic Life and his tragical End; followed by justificative State Papers, among which is the Constitution for the Imperial Family.	The Monthly register and encyclopedian magazine	duchesse d', Orléans, Charlotte-Elisabeth	1824.0	Secret memoirs of the court of Louis XIV. and of the regency	2.5238727904955085							
373	Nov 1880	20160127233243_00005	1880	6117988	THE PORTRAIT OF A LADY.1	Macmillan's magazine,  1859-1907	James, Henry	1882.0	The portrait of a lady	2.2177840789750056							
374	Oct 17, 1818	20160127235207_00008	1818	5162370	A Narrative of the Shipwreck of the Oswego, on the Coast of South Barbary, and of the Sufferings of the Master and the Crew while in Bondage among the Arabs; &c. &c.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Paddock, Judah	1818.0	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	3.385641025641025							
375	Mar 25, 1843	20160128001648_00002	1843	8404029	Critical and Historical Essays, contributed to the Edinburgh Review.	Examiner	Macaulay, Thomas Babington Macaulay	1850.0	Critical and historical essays	2.917692307692308							
376	Jun 1804	20160127182915_00001	1804	3904694	SKETCH OF THE LIFE AND WRITINGS OF ADAM FERGUSON, LL. D.	The Monthly visitor, and new family magazine	Necker de Saussure, Albertine Adrienne	1820.0	Sketch of the life, character, and writings of Baroness de Staël-Holstein	2.2144492063492063							
377	Apr 10, 1858	20160128010124_00007	1858	8438235	The Life and Adventures of Nicholas Nickleby.	Examiner	Dickens, Charles	1839.0	The life and adventures of Nicholas Nickleby	2.9130776564533765							
378	Jul 1809	20160127191130_00009	1809	8266574	84. The Academy; or, a Picture of Youth. Harris, &c.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Mackenzie, William	1808.0	The academy; or, A picture of youth	2.810751515151515							
379	Dec 24, 1870	20160128003123_00004	1870	8592967	Wonderful Stories from Northern Lands.	Examiner	Goddard, Julia	1871.0	Wonderful stories from northern lands	3.2260210901974213							
380	May 13, 1893	20160127191439_00002	1893	9192185	The Real Thing, and other Tales.	The Athenaeum	James, Henry	1893.0	The real thing, and other tales	3.067940609992754							
381	Dec 18, 1841	20160127191848_00004	1841	9545424	A History of the Life of Richard Coeur-de-Lion King of England.	The Athenaeum	Middleton, Conyers	1839.0	The history of the life of Marcus Tullius Cicero	2.1478896990388887							
382	Sep 16, 1911	20160127192200_00007	1911	6825279	More Letters to My Son.	The Academy and literature, 1910-1914	James, Winifred Lewellin	1910.0	Letters to my son	2.1181686570108607							
383	Jan 1857	20160127190208_00002	1857	6832443	New-Book Notes by Monkshood.	Bentley's miscellany,  1837-1868											
384	Apr 3, 1875	20160127190927_00008	1875	6690181	Te Rou; or, the Maori at Home.	The Academy, 1869-1902, 0269-333X	White, John	1874.0	Te Rou; or, The Maori at home. A tale, exhibiting the social life, manners, habits, and customs of the Maori race in New Zealand prior to the introduction of civilisation amongst them	3.7377634404320297							
385	Apr 5, 1834	20160127230149_00002	1834	5140032	A Voyage round the World, including Travels in Africa, Asia, Australasia, America, &c.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Walter, Richard	1853.0	A voyage round the world, in the years 1740, 41, 42, 43, 44, by George Anson	2.610043179327066							
386	Sep 19, 1903	20160127190927_00008	1903	6814043	TOMMY WIDEAWAKE.	The Academy and literature, 1902-1905	Bashford, H. H. (Henry Howarth), Sir	1903.0	Tommy Wideawake	2.688787878787879							
387	Jul 2, 1842	20160127230759_00009	1842	5249351	Father Connell.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Banim, John	1842.0	Father Connell	2.4963157894736843							
388	Mar 15, 1845	20160127230904_00011	1845	4974879	The Fortunes of the Scattergood Family.	Critic, 1844-1847	Smith, Albert	1845.0	The fortunes of the Scattergood family	3.089741019214704							
389	Apr 30, 1887	20160127191335_00001	1887	8753498	The World Went Very Well Then.	The Athenaeum	Besant, Walter, Sir	1887.0	The world went very well then	3.323531566472743							
390	Jan 4, 1851	20160128005915_00010	1851	8685817	The Miscellaneous Works of the Right Honourable Sir James Macintosh.	Examiner	Mackintosh, James, Sir	1854.0	The miscellaneous works of the Right Honourable Sir James Mackintosh	3.2711474863717016							
391	May 1913	20160127192159_00016	1913	4117523	A TERRIBLE INDICTMENT.	The Review of reviews											
392	Sep 25, 1880	20160127191545_00013	1880	6682486	Book review	The Academy, 1869-1902, 0269-333X											
393	Mar 14, 1896	20160127192715_00011	1896	8837156	The Sowers.	The Athenaeum	Scott, Hugh Stowell	1896.0	The sowers	2.16							
394	Dec 10, 1853	20160127192157_00006	1853	8140456	A CHILD'S HISTORY OF ENGLAND.	Household words / conducted by Charles Dickens	Dickens, Charles	1870.0	A child's history of England. The mystery of Edwin Drood. New uncommercial sample	2.531935566679502							
395	May 28, 1831	20160127192200_00007	1831	8675310	Haverhill; or, Memoirs of an Officer in the Army of Wolfe.	The Athenaeum	Jones, James Athearn	1831.0	Haverill : or, memoirs of an officer in the army of Wolfe	2.3844083482409064							
396	Jan 16, 1869	20160128002306_00010	1869	8785142	The Mosaic-Worker's Daughter.	Examiner	Capes, J. M	1868.0	The mosaic-worker's daughter	2.9181967213114755							
397	Feb 15, 1851	20160127230657_00008	1851	4967115	Eugenie, the Young Laundress of the Bastille.	The Critic	De La Voye, Marin J. George	1851.0	Eug??nie, the young laundress of the Bastille	2.850526984126984							
398	Jun 1831	20160127190619_00006	1831	8424961	A Memoir of the life of Robert Henley, Earl of Northington, Lord High Chancellor of Great Britain.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Radcliffe, Ann Ward	1833.0	Memoir of the life and writings of Mrs. Radcliffe. Gaston de Blondeville	2.1102823524124137							
399	Feb 1910	20160127191338_00018	1910	3178449	THE AGONY COLUMN.	The Bookman	Biggers, Earl Derr	1916.0	The agony column	2.583333333333333							
400	Aug 1801	20160127232936_00002	1801	4570138	The First Voyage round the World, by the Chevalier Pigafe a, with the Squadron of Magellan, during the Years 1519, 20, 21, and 22; followed by an Extract of the Treatise of Navigation, by the same Author, and a Dissertation on M B, with a Description of his Terrestrial Globe. With M ps and Prints.	The Critical review, or, Annals of literature	Defoe, Daniel	1809.0	A new voyage round the world	2.101923809523809							
401	Dec 19, 1908	20160127192713_00002	1908	9301599	Blackstick Papers.	The Athenaeum	Ritchie, Anne Thackeray	1908.0	Blackstick papers	2.7394623655913977							
402	Dec 14, 1867	20160127192303_00008	1867	8662148	Life and Labours of John Campbell, D.D.	The Athenaeum	Helps, Arthur, Sir	1874.0	Life and labours of Mr. Brassey	2.1326619946091645							
403	Sep 9, 1905	20160127183425_00006	1905	6837451	Shakespeare's Christmas.	The Academy, 1905-1910	Quiller-Couch, Arthur Thomas, Sir	1905.0	Shakespeare's Christmas and other stories	2.392680281882868							
404	Dec 15, 1853	20160127234351_00001	1853	4999934	The Natural History of Selborne.	The Critic	Smith, Albert	1847.0	The natural history of the ballet-girl	2.3726893081761005							
405	Dec 20, 1873	20160128001855_00004	1873	8521388	CHRISTMAS BOOKS.	Examiner	Dickens, Charles	1885.0	Christmas books	2.1562962962962957							
406	Aug 22, 1908	20160127193122_00012	1908	8920435	The Passion of Paul Marillier.	The Athenaeum	Sergeant, Adeline	1908.0	The passion of Paul Marillier	3.2470523415977963							
407	Aug 14, 1847	20160127234700_00003	1847	4980538	VOYAGES AND TRAVELS.	Critic, 1844-1847		1838.0	Voyages and travels	2.580516934046346							
408	Oct 24, 1903	20160127193122_00012	1903	8875786	The Long Night.	The Athenaeum	Weyman, Stanley John	1903.0	The long night	2.291929824561404							
409	Apr 14, 1866	20160127192053_00005	1866	9432073	Hereward the Wake, "Last of the English."	The Athenaeum	Kingsley, Charles	1866.0	Hereward the Wake	2.205804988662132							
410	May 3, 1834	20160128000225_00004	1834	5232018	Two Old Men's Tales: the Deformed, and the Admiral's Daughter.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Marsh-Caldwell, Anne	1834.0	Two old men's tales : The deformed ; and, The admiral's daughter	3.2305022649226376							
411	Sep 1895	20160127190515_00012	1895	3158134	THE MARTYRED FOOL.	The Bookman	Murray, David Christie	1894.0	The martyred fool	2.759047619047619							
412	Jun 26, 1897	20160127233142_00004	1897	6205941	Pacific Tales.	The National observer, and British review of politics, economics, literature, science, and art	Becke, Louis	1896.0	Pacific tales	2.307832167832168							
413	Nov 22, 1902	20160127192715_00011	1902	8834417	Cecilia: a Story of Modern Rome.	The Athenaeum	Crawford, F. Marion (Francis Marion)	1902.0	Cecilia : a story of modern Rome	2.597002841694696							
414	Jul 26, 1862	20160128012003_00008	1862	8475555	The Lord Mayor of London: or City Life in the Last Century.	Examiner	Ainsworth, William Harrison	1862.0	The Lord Mayor of London: or, City life in the last century	3.3961389553035835							
415	Oct 22, 1853	20160127191545_00013	1853	8608991	Fern Leaves from Fanny's Portfolio.	The Athenaeum	Parton, Sara Payson (Willis)	1854.0	Fern leaves from Fanny's port-folio	3.214700854700854							
416	Dec 1817	20160128003019_00003	1817	6096798	Narrative of a Voyage to Hudson's Bay in his Majesty's ship Rosamond, containing some Account of the NorthEastern Coast of America, and of the Tribes inhabiting that remote region.	The Literary panorama, 1806-1819	Macdouall, John	1833.0	Narrative of a voyage to Patagonia and Terra del Fuégo : through the Straits of Magellan, in H.M.S. Adventure and Beagle, in 1826 and 1827	2.3824664224664223							
417	Mar 21, 1846	20160127192303_00008	1846	9556665	Narratives of Remarkable Criminal Trials. Translated from the German of Anselm Ritter von Feuerbach.	The Athenaeum	Feuerbach, Paul Johann Anselm	1846.0	Narratives of remarkable criminal trials	3.4167821067821067							
418	May 4, 1844	20160127230250_00003	1844	5152513	Book review	The Literary gazette : A weekly journal of literature, science, and the fine arts											
419	Oct 1809	20160127190311_00003	1809	6898147	ART. V. The Letters of Mrs Elizabeth Montagu, with some of the Letters of her Correspondents.	The Edinburgh review,  1802-1929	Montagu, Elizabeth Robinson	1810.0	The letters of Mrs. Elizabeth Montagu, with some of the letters of her correspondents	2.2346764799699783							
420	Apr 23, 1828	20160127191848_00004	1828	8613277	Penelope, or Love's Labour Lost; A Novel.	The Atheneaum. London literary and critical journal, Jan. 2, 1828-July 23, 1828	Scargill, William Pitt	1828.0	Penelope, or, Love's labour lost	3.0696952380952385							
421	Feb 1854	20160127193123_00003	1854	4449162	Lorenzo Benoni; or, Passages in the Life of an Italian.	Tait's Edinburgh magazine	Ruffini, Giovanni	1853.0	Lorenzo Benoni; or, Passages in the life of an Italian;	3.5440502565578087							
422	Jun 1808	20160127190414_00004	1808	8132840	91. The Knights; Tales illustrative of the Marvellous.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Dallas, Robert Charles	1808.0	The knights: tales illustrative of the marvellous	2.464288211788212							
423	Dec 29, 1877	20160128005914_00004	1877	8529714	BETWEEN WHILES.	Examiner	Jackson, Helen Hunt	1887.0	Between whiles	2.541794871794872							
424	May 31, 1823	20160128000328_00006	1823	5165976	Ringan Gilhaize; or, the Covenanters.	The Literary chronicle	Galt, John	1823.0	Ringan Gilhaize; or, The covenanters	3.3044444444444445							
425	Jan 8, 1870	20160127193122_00012	1870	8670646	To Esther, and other Sketches.	The Athenaeum	Ritchie, Anne Thackeray	1869.0	To Esther, and other sketches	2.9285419833748416							
426	Mar 15, 1845	20160127231108_00013	1845	4974808	Hawkstone; a Tale of and for England in 184-.	Critic, 1844-1847	Sewell, William	1848.0	Hawkstone: a tale of and for England in 184-	2.3408549708039192							
427	Nov 1849	20160127230351_00004	1849	4417086	THE OGILVIES.	New monthly magazine and humorist, Jan. 1837-Dec. 1852	Craik, Dinah Maria (Mulock), Mrs	1849.0	The Ogilvies	2.1566666666666667							
428	Sep 23, 1911	20160127192713_00002	1911	9464839	Hilda Lessways.	The Athenaeum	Bennett, Arnold	1911.0	Hilda Lessways	2.6866666666666665							
429	May 1810	20160127191440_00012	1810	8167991	61. THE BOROUGH, a Poem, in Twentyfour Letters.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Crabbe, George	1810.0	The borough : a poem, in twenty-four letters	2.6668301350390906							
430	Aug 29, 1857	20160127191848_00004	1857	8635510	Memoirs and Adventures of Felice Orsini, written by himself containing Unpublished State Papers of the Roman Court.	The Athenaeum		1835.0	Memoirs and adventures of a man of fashion : written by himself, including anecdotes of many celebrated persons with whom he had intercourse and connexion ... in three volumes	2.3090487674169347							
431	Jan 8, 1870	20160127191337_00011	1870	8663121	A Memoir of Jane Austen.	The Athenaeum	Austen-Leigh, James Edward	1871.0	A memoir of Jane Austen	2.9195308123249304							
432	Jul 17, 1858	20160127230657_00008	1858	5012327	The Reigning Beauty.	The Critic	Chatterton, Georgiana, Lady	1858.0	The reigning beauty	2.6644444444444444							
433	Jan 7, 1905	20160127192303_00008	1905	6816589	THE PRISONER OF MADEMOISELLE	The Academy and literature, 1902-1905	Roberts, Charles George Douglas, Sir	1904.0	The prisoner of Mademoiselle	2.8030735930735933							
434	Apr 3, 1875	20160127192611_00010	1875	9042181	The Life and Works of Mencius. With Essays and Notes.	The Athenaeum	Legge, James	1867.0	The life and works of Mencius	3.0955394243198078							
435	Dec 1889	20160127233243_00005	1889	6112088	THE INCARNATION OF KRISHNA MULVANEY.	Macmillan's magazine,  1859-1907	Kipling, Rudyard	1899.0	The incarnation of Krishna Mulvaney	3.5933333333333333							
436	Jun 5, 1869	20160127191542_00003	1869	8989659	The Works of Jonathan Swift, D.D., Dean of St. Patrick's, Dublin. Carefully selected, with a Biography of the Author, by D. Laing Purves; and Original and Authentic Notes.	The Athenaeum	Swift, Jonathan	1859.0	The works of Jonathan Swift, D.D. : with copious notes and additions and a memoir of the author	3.0519576719576715							
437	Apr 29, 1826	20160127231211_00014	1826	5077464	Miriam; or, the Power of Truth.	The Literary chronicle	Anley, Charlotte	1836.0	Miriam; or, The power of truth. A jewish tale	3.2235854341736694							
438	Nov 15, 1913	20160127191337_00011	1913	6865653	Florence Nightingale	The Academy and literature, 1910-1914	Strachey, Lytton	1938.0	Florence Nightingale	2.375909090909091							
439	Oct 1904	20160127183526_00007	1904	3186040	MESSRS. WARD, LOCK AND CO.	The Bookman											
440	May 25, 1889	20160128002611_00001	1889	6212593	Tales from Blackwood.	The Scots observer, 1888-1890		1889.0	"Tales from ""Blackwood."""	2.2118406983689414							
441	Mar 17, 1855	20160127192611_00010	1855	8608653	The House that Jack Built Philosophically Considered and Practically Illustrated.	The Athenaeum	Whitehead, L	1865.0	The new house that Jack built	2.4071800865800865							
442	Feb 7, 1846	20160127191439_00002	1846	9127263	Stories from the Italian Poets: with Lives of the Writers.	The Athenaeum	Hunt, Leigh	1853.0	Stories from the Italian poets: being a summary in prose of the poems of Dante, Pulci, Boiardo, Ariosto and Tasso; with comments throughout, occasional passages versified, and critical notices of the lives and genius of the authors	3.148147976402092							
443	Oct 1835	20160127231618_00005	1835	5811718	The Life and Times of General Washington.	The Metropolitan magazine,  1833-1840	Reynolds, Frederick	1827.0	The life and times of Frederick Reynolds	2.169084648623665							
444	Aug 24, 1878	20160128010327_00013	1878	8821053	THE NEW PAUL AND VIRGINIA.	Examiner	Mallock, W. H. (William Hurrell)	1889.0	The new Paul and Virginia: or, Positivism on an island	2.4198479490806224							
445	Dec 5, 1903	20160127192053_00005	1903	8877179	Castle Craneycrow.	The Athenaeum	McCutcheon, George Barr	1902.0	Castle Craneycrow	2.732507645259939							
446	Aug 1829	20160127233243_00005	1829	4695579	Sketches and Anecdotes of Dogs, by Captain Thomas Browne; 1829.	Monthly magazine, or, British regster, Feb. 1800-June 1836		1833.0	Sketches and anecdotes illustrative of female character	2.1895371252204585							
447	Jun 7, 1834	20160127192155_00015	1834	8768081	The Life and Adventures of Dr. Dodimus Duckworth, A.N.Q.; to which is added, the History of a Steam Doctor.	The Athenaeum	Greene, Asa	1833.0	The life and adventures of Dr. Dodimus Duckworth	3.6819381444291617							
448	Jul 1807	20160127230657_00008	1807	4673444	A complete Collection of Haydn's Moxart's,	Monthly magazine, or, British regster, Feb. 1800-June 1836	Howell, Thomas Bayly	1816.0	A complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations	2.5544444444444445							
449	Nov 4, 1837	20160127231211_00014	1837	5253036	Chelsa Hospital, and its Traditions, &c.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Gleig, G. R. (George Robert)	1838.0	Chelsea Hospital, and its traditions	2.7577904761904763							
