"category"	"count"
"alekseĭ petrovich"	1
"carlist war, 1833-1840"	1
"dutch war, 1672-1678"	1
"cyrano de bergerac"	1
"hare, augustus j. c"	1
"alcibiades"	1
"agriculture"	1
"sorel, agnès"	1
"tecumseh"	1
"1521-1553"	1
"florence (italy)"	1
"squirrels"	1
"1537-1554"	1
"courage"	1
"veterans"	1
"soldiers"	1
"salem"	1
"staël"	1
"correspondence, reminiscences, etc"	1
"823ol3mis"	1
"1619-1655"	1
"sick children"	1
"tunisia"	1
"jagellons, 1386-1572"	1
"greek fiction"	1
"1792-1822"	1
"switzerland"	1
"heat"	1
"poultry"	1
"richard i, 1189-1199"	1
"whitman, walt"	1
"comedies"	1
"holy roman empire"	1
"1722-1800"	1
"biographical fiction, american"	1
"pictorial works"	1
"college stories"	1
"massaniello"	1
"marshalsea prison (southwark, london, england)"	1
"africa, northern"	1
"immortalism"	1
"1533-1603"	1
"d???_rer, albrecht"	1
"finnish fiction"	1
"klondike river valley (yukon)"	1
"technological innovations"	1
"bavaria"	1
"jameson's raid, 1895-1896"	1
"mennonites"	1
"brooke, olave"	1
"1898-1946"	1
"1832-1914"	1
"communism"	1
"chand, malek"	1
"wisconsin infantry regiment, 24th (1862-1865)"	1
"hawthorne, nathaniel"	1
"1796-1834"	1
"naval operations"	1
"middle-aged men"	1
"823l57to"	1
"1500-1571"	1
"revenge"	1
"women comedians"	1
"spenser, edmund"	1
"in fiction, drama, poetry, etc"	1
"personal narratives, american"	1
"passenger ships"	1
"children in art"	1
"gettysburg, battle of, gettysburg, pa., 1863"	1
"chicago, ill.)"	1
"hannay, richard (fictitious character)"	1
"xiii"	1
"queensland"	1
"graf von"	1
"bees - legends and stories"	1
"women benefactors"	1
"1688-1744"	1
"letter to **** ****** on the rev. w. l. bowle's strictures on the life and writings of pope"	1
"outdoor books"	1
"secession church (scotland)"	1
"wharton, philip wharton"	1
"1829-1900"	1
"davies, w. h"	1
"newfoundland and labrador"	1
"fl. 1071"	1
"brer rabbit (legendary character)"	1
"henry of pomeroy"	1
"(ocolc)fst01239509"	1
"fl. 1768"	1
"(ocolc)fst00030387"	1
"ship captains"	1
"administration of estates"	1
"columbus, christopher"	1
"1802-1865"	1
"deacons"	1
"(ocolc)fst00013265"	1
"sister carrie"	1
"1552?-1599"	1
"sexual behavior"	1
"aerial operations"	1
"823g66d"	1
"responsibility"	1
"1666-1726"	1
"1859-1956"	1
"mountain life"	1
"adopted children"	1
"creoles"	1
"1828-1901"	1
"virgin islands of the united states"	1
"early works to 1800"	1
"korea"	1
"1663-1748"	1
"deirdre (legendary character)"	1
"boardinghouses"	1
"of austria"	1
"browning, robert"	1
"murry, john middleton"	1
"belgians"	1
"1452-1519"	1
"capitalism"	1
"shawnee chief"	1
"1632-1723"	1
"1809-1847"	1
"823r562n"	1
"wolves"	1
"1764-1841"	1
"borgia family"	1
"peak district (england)"	1
"siege of delhi (india : 1857)"	1
"1763-1814"	1
"bacon's rebellion, 1676"	1
"d.1354"	1
"fishes"	1
"texas"	1
"823w14t"	1
"1871-1945"	1
"twenty-second century"	1
"homer"	1
"lodging-houses"	1
"1783-1803"	1
"european intervention, 1861-1867"	1
"1599-1641"	1
"(ocolc)fst01893847"	1
"nineteen twenties"	1
"hampshire"	1
"823w5814i"	1
"louis xv, 1715-1774"	1
"johnson, samuel"	1
"socialites"	1
"15th cent"	1
"constitutional period, 1789-1809"	1
"popular works"	1
"1268-1492"	1
"henry viii, 1509-1547"	1
"translations from japanese"	1
"midshipmen"	1
"1741-1822"	1
"king of northumbria"	1
"booth, augusta"	1
"crimean war, 1853-1856"	1
"blakeney, percy, sir (fictitious character)"	1
"inquisition"	1
"endpapers (binding)"	1
"823b238re"	1
"newspaper editors"	1
"forsyth, william"	1
"(ocolc)fst00958235"	1
"anonymous armorial book-plate"	1
"1817-1892"	1
"mdewakanton indians"	1
"gowrie conspiracy, 1600"	1
"pennsylvania"	1
"wars of independence, 1567-1625"	1
"printing in multiple colors in separate passes (printing)"	1
"martin, harriette anne (crookesley patchett)"	1
"san francisco (calif.)"	1
"823m464ch"	1
"1743-1793"	1
"martinsburg"	1
"823sm51f"	1
"742-814"	1
"diplomats' spouses"	1
"greenland"	1
"architecture"	1
"manipulative behavior"	1
"women prisoners"	1
"hemans"	1
"guardian and ward"	1
"emigration and immigration"	1
"1800-1873"	1
"1850-1950"	1
"francis ii, 1559-1560"	1
"(ocolc)fst01002993"	1
"brown, william wreford"	1
"meredith, george"	1
"synge, j. m"	1
"stepfamilies"	1
-1652	1
-1504	1
"children's stories, danish"	1
"surry county (n.c.)"	1
"wilson, margaret"	1
"823m122m1869"	1
"x823c69d"	1
"folklore, ruthenian"	1
"papua new guinea"	1
"(ocolc)fst00919916"	1
"1800-1891"	1
"x823h22f"	1
"gran galeoto"	1
"1834-1903"	1
"self-perception"	1
"george eliot's life"	1
"labrador"	1
"trials (murder)"	1
"mythology, slavic"	1
"suspense fiction"	1
"great lakes (north america)"	1
"lumbermen"	1
"1320 (ca.)-1380"	1
"spade, sam (fictitious character)"	1
"smith, john"	1
"823l812m"	1
"hoodlums"	1
"823p29wh"	1
"1752-1822"	1
"mate selection"	1
"northeastern states"	1
"823g85t"	1
"1620-1647"	1
"restoration, 1660-1688"	1
"holmes, sherlock"	1
"monmouth, james scott"	1
"church architecture"	1
"thring, edward"	1
"bacon, roger"	1
"publishers' cloth bindings (bindings)"	1
"medici, house of"	1
"autograph"	1
"1802-1868"	1
"limp bindings (binding)"	1
"1670-1733"	1
"good and evil"	1
"tarnovskai????a, mari????a nikolaevna (o'rourke, grafini????a)"	1
"1706-1739"	1
"823n47da1896"	1
"1690-1726"	1
"823w85g"	1
"illustrations"	1
"labrador (n.l.)"	1
"x823c19v"	1
"alexandra"	1
"elopement"	1
"tarnowska, marie"	1
"siege, 1836"	1
"civil service"	1
"1706-1790"	1
"fiction in spanish, 1516-1700 - english texts"	1
"poirot, hercule (fictitious character)"	1
"gilmour, mary howard"	1
"tennessee"	1
"louisville (ky.)"	1
"gueux"	1
"stuart, arabella"	1
"1766-1817"	1
"trinidad"	1
"algonquian mythology"	1
"operas"	1
"pampas (argentina)"	1
"rabelais, françois"	1
"823k21d"	1
"university of oxford"	1
"unionists (united states civil war)"	1
"parodies, imitations, etc"	1
"translations from russian"	1
"skye, island of (scotland)"	1
"stonemasons"	1
"wars of the huguenots, 1562-1598"	1
"german"	1
"norman period, 1066-1154"	1
"humorous fiction"	1
"american loyalists"	1
"steel industry and trade"	1
"florida"	1
"captivity, 1815-1821"	1
"anne, 1702-1714"	1
"gay men"	1
"ferguson, james"	1
"russo-japanese war, 1904-1905"	1
"1553-1610"	1
"edwardian novels"	1
"823j23w1849"	1
"29th division"	1
"rebellion of 1798"	1
"argentina"	1
"blacks"	1
"armorial bookplates (provenance)"	1
"fantasy"	1
"legends, spanish"	1
"carmalt, geraldine woolsey"	1
"schnitzler, arthur"	1
"science"	1
"paper labels (binding)"	1
"1157-1199"	1
"peter"	1
"literary curiosa"	1
"children's literature, american"	1
"1869-1933"	1
"benefactors"	1
"x823c19tr"	1
"conte di"	1
"bee culture"	1
"albert, aug. j"	1
"geometry, descriptive"	1
"sing sing prison"	1
"himalaya mountains"	1
"graham, john"	1
"1214-1270"	1
"rienzo, cola di"	1
"1835-1910"	1
"iv"	1
"kansas"	1
"poets, english"	1
"o. t"	1
"richard ii, 1377-1399"	1
"sheridan, richard brinsley"	1
"1849-1914"	1
"1512-1542"	1
"dürer, albrecht"	1
"philosophy"	1
"sea stories, american"	1
"status offenders"	1
"money"	1
"plantation owners"	1
"the great"	1
"feral children"	1
"grammar"	1
"823st38a"	1
"prince de"	1
"823c69p1872"	1
"catholics"	1
"gräfin von"	1
"1649-1685"	1
"logging"	1
"marie louise"	1
"mabinogion"	1
"end of the world"	1
"manitoba"	1
"spencer, anne"	1
"eighth, 1270"	1
"hare, augustus john cuthbert"	1
"odyssey"	1
"remus, uncle (fictitious character)"	1
"nicholas ii, 1894-1917"	1
"highlands"	1
"(ocolc)fst01245079"	1
"1816-1855"	1
"1914 - 1918"	1
"peru"	1
"1644-1710"	1
"1592-1637"	1
"witt, johan de"	1
"du barry, jeanne b????cu"	1
"comte d'"	1
"1722-1800. [from old catalog]"	1
"odysseus (greek mythology)"	1
"1643-1687"	1
"(ocolc)fst00995558"	1
"823se8c"	1
"viii"	1
"life change events"	1
"uncles"	1
"d. 415"	1
"823w85s"	1
"chan, charlie (fictitious character)"	1
"raffles (fictitious character)"	1
"murder"	1
"uppingham school"	1
"tuatha de danaan"	1
"flying dutchman"	1
"sri lanka"	1
"authorship"	1
"(ocolc)fst01206073"	1
"1751-1816"	1
"823k17t"	1
"honolulu"	1
"logic"	1
"egypt"	1
"to 1515"	1
"ligne, charles joseph"	1
"war work"	1
"messianism"	1
"bakunin, mikhail aleksandrovich"	1
"sports"	1
"1575-1615"	1
"b. 1887"	1
"french wit and humor"	1
"andes"	1
"jews, russian"	1
"military biography"	1
"inscriptions, greek"	1
"bashkirtseff, marie"	1
"northwest, pacific"	1
"howitt, mary bothan"	1
"southwest, new"	1
"823b238r"	1
"uganda railway"	1
"richard"	1
"emperor of hindustan"	1
"discontent"	1
"catherine de m????dicis"	1
"inlaid binding"	1
"1871-1909"	1
1907	1
"bohemia"	1
"70-1789"	1
"book collecting"	1
"comic books"	1
"franklin, benjamin"	1
"authors, english"	1
"translated into english"	1
"wars of the roses, 1455-1485"	1
"945?-1000. [from old catalog]"	1
"musical fiction"	1
"comédie-française"	1
"racism"	1
"malays (asian people)"	1
"823ol29a"	1
"1850-1894"	1
"stepfathers"	1
"elizabeth"	1
"folk-lore, irish"	1
"1872-1918"	1
"zionists"	1
"romanies"	1
"greek drama (tragedy)"	1
"dacre, barbarina"	1
"823n82w"	1
"socialists"	1
"823b34t1894"	1
"823m219o"	1
"diaries"	1
"ethiopia"	1
"opera"	1
"queen of persia"	1
"586 b.c.-70 a.d"	1
"fishing villages"	1
"rembrandt harmenszoon van rijn"	1
"823m36po"	1
"things as they are"	1
"australian army"	1
"patterson, j. e"	1
"(john millington)"	1
"alexander"	1
"puritans"	1
"perseus (greek mythology)"	1
"war of 1812"	1
"alcoholics"	1
"maximilian i, 1493-1519"	1
"wars of independence, 1806-1830"	1
"823w6852n"	1
"(ocolc)fst01205766"	1
"accidents"	1
"women inventors"	1
"bayntun"	1
"empress consort of napoléon i"	1
"translations from slavic"	1
"margaretha maultasch"	1
"outlaws"	1
"maximilian"	1
"1491-1547"	1
"castles"	1
"1680-1737"	1
"biographies"	1
"1688-1747"	1
"charities"	1
"sir, saint"	1
"colorado"	1
"1735-1814"	1
"rothsay castle (ship)"	1
"robin hood (legendary character)"	1
"corsica"	1
"children's stories, german"	1
"people with disabilities"	1
"1805-1844"	1
"vfiction"	1
"d. 1704"	1
"economic conditions"	1
"akbar"	1
"(ocolc)fst01205835"	1
"chinese literature"	1
"1819-1892"	1
"bowditch, nathaniel"	1
"hawaii"	1
"argyll, elizabeth (gunning) campbell"	1
"east indies"	1
"crofts, sibyl"	1
"mythology"	1
"saxony (germany)"	1
"reynolds, frederick"	1
"childhood and youth"	1
"(ocolc)fst01174081"	1
"worster, w. j. alexander"	1
"miscellanea"	1
"moltke, helmuth"	1
"people with visual disabilities"	1
"race discrimination"	1
"countess"	1
"1757-1834"	1
"stuarts, 1603-1714"	1
"blessington, marguerite"	1
"venice (italy)"	1
"cloth bindings (binding)"	1
"823c69w1860"	1
"823st84l"	1
"jewelry theft"	1
"wordsworth, william"	1
"family"	1
"chelsea hospital (london, england)"	1
"1871-1940"	1
"louisiana in fiction"	1
"humorous stories, english"	1
"(ocolc)fst01205261"	1
"mythology, greek"	1
"ca. 1490-1553?"	1
"823c19tr1834a"	1
"1791-1857"	1
"baskerville"	1
"approximately 1320-1380"	1
"x823c69m"	1
"ocean"	1
"heathlands"	1
"1444 or 5-1510"	1
"love stories, english"	1
"shah of iran"	1
"reading (elementary)"	1
"herefordshire"	1
"world history"	1
"fairies"	1
"single mothers"	1
"fiction in polish, 1795-1919 - english texts"	1
"801-865"	1
"translations from french (old french)"	1
"burglars"	1
"lafayette, marie joseph paul yves roch gilbert du motier"	1
"(ocolc)fst00015297"	1
"paraphrases"	1
"boxing"	1
"tsushima, battle of, 1905"	1
"d. 1243"	1
"edition perceval"	1
"uganda"	1
"free thought"	1
"1882-1975"	1
"portraits of women"	1
"isle of wight"	1
"european settlements, 1500-1765"	1
"1730-"	1
"1542-1605"	1
"mills and mill-work"	1
"edward, the confessor, 1042-1066"	1
"lexington (mass.)"	1
"1857-1903"	1
"cellini, benvenuto"	1
"823m14an"	1
"calcutta (india)"	1
"tristan (legendary character)"	1
"d. 1329"	1
"pepys, elizabeth"	1
"gregory, william henry"	1
"imp"	1
"823l519g1865"	1
"fantastic fiction"	1
"malay peninsula"	1
"empire, 284-476"	1
"europe, eastern"	1
"clayhanger family (fictitious characters)"	1
"doyle, arthur conan"	1
"sicily (italy)"	1
"privateering"	1
"early modern, 1500-1700"	1
"slums"	1
"cosel, anna konstanze"	1
"nebraska"	1
"john ii casimir, 1648-1668"	1
"domestic fiction, english"	1
"binder"	1
"pawlowska, yoï"	1
"anscher"	1
"vereshchagin, vasiliĭ vasilʹevich"	1
"marie antoinette, queen, consort of louis xvi, king of france, 1755-1793"	1
"new orleans in fiction"	1
"ix"	1
"new zealand writers, 1907- - texts"	1
"scouts and scouting"	1
"psychology"	1
"roe, edward payson"	1
"mythology, polynesian"	1
"d. 1652"	1
"challenger, professor (fictitious character)"	1
"(ocolc)fst01180746"	1
"gissing, george"	1
"northwest territories"	1
"ex-convicts"	1
"monogenism and polygenism"	1
"lancashire"	1
"bannertail (squirrel)"	1
"823sa8m"	1
"penal colonies"	1
"823al5d"	1
"1842-1904"	1
"jones, amanda theodocia"	1
"erauso, catalina de"	1
"irish"	1
"queen, consort of henry ii, king of france"	1
"milligate, michael"	1
"d. 1760"	1
"823ed28s1860"	1
"henry iii, 1216-1272"	1
"maintenon"	1
"himalaya mountains region"	1
"1648-1714"	1
"aelfthryth"	1
"bengal"	1
"scottish americans"	1
"823p29le1878"	1
"politics, practical"	1
"legends, greek"	1
"roman policier anglais"	1
"charles vii, 1422-1461"	1
"war of independence, 1810-1824"	1
"netherlands"	1
"cholera"	1
"dolls"	1
"keary, annie"	1
"village communities"	1
"1799-1888"	1
"legends, french"	1
"wilhelmine"	1
"1471-1528"	1
"1698-1731"	1
"balkan peninsula"	1
"germans"	1
"1791-1847"	1
"smith, joseph"	1
"(ocolc)fst00935370"	1
"adventure stories, american"	1
"1214?-1294"	1
"businessmen"	1
"saint, bishop of carthage"	1
"thieves"	1
"823n47mad"	1
"slavs"	1
"pampas"	1
"palliser, plantagenet (fictitious character)"	1
"823c84n"	1
"tales, australian aboriginal"	1
"notting hill"	1
"biographical fiction"	1
"women social workers"	1
"kindness"	1
"babylon (extinct city)"	1
"textile industry"	1
"1789-1849"	1
"louis xviii, 1814-1824"	1
"fraser, hugh"	1
"survival"	1
"1743-1795"	1
"nature"	1
"la valli????re, louise de"	1
"thompson, josiah (fictitious character)"	1
"945?-1000"	1
"1505-1544"	1
"short stories, italian"	1
"selfishness"	1
"1838-1888"	1
"fitzgerald, james fitzthomas"	1
"823l57c"	1
"parables"	1
"convents"	1
"namibia"	1
"queen consort of edgar, 945?-1000"	1
"cyprian"	1
"janizaries"	1
"landowners"	1
"(alice muriel)"	1
"morgan, henry"	1
"children's writings, english"	1
"ali, pasha of janina"	1
-1922	1
"penal transportation"	1
"1812-1889"	1
"aran islands"	1
"1649-1650"	1
"1789-1815"	1
"1851-1935"	1
"conrad, joseph"	1
"renaissance"	1
"1836-1902"	1
"journalists"	1
"world war (1914-1918)"	1
"1665-1694"	1
"1801-1885"	1
"bolivia"	1
"rodrigues (mauritius)"	1
"paul"	1
"accident victims"	1
"823st38s"	1
"conformity"	1
"pacific ocean"	1
"1878-1939"	1
"empress, consort of napoleon i, emperor of the french"	1
"1628-1699"	1
"humorous stories, canadian"	1
"hayes, catharine (hall)"	1
"islands"	1
"jinn"	1
"botticelli, sandro"	1
"martin, violet"	1
"823p29mi"	1
"celtic literature"	1
"l????gion ????trang????re"	1
"1865-1918"	1
"ferdinand and isabella, 1479-1516"	1
"texts"	1
"florence"	1
"maurice"	1
"basques"	1
"pennsylvania. philadelphia. 1853"	1
"king of poland"	1
"cape cod (mass.)"	1
"translations into greek, modern"	1
"authors, american"	1
"mining engineers"	1
"ferrar, nicholas"	1
"balloon ascensions"	1
"823l57f"	1
"kidnapping"	1
"polish fiction"	1
"publishers' bindings (binding)"	1
"elector of saxony"	1
"ruhr valley"	1
"harold"	1
"roy, jean"	1
"trojan war"	1
"parent and child"	1
"823h76g1836"	1
"irish wit and humor"	1
"erotic stories"	1
"dutch wit and humor"	1
"echegaray, jos????"	1
"milton, mary powell"	1
"scott, walter"	1
"sawyer, tom (fictitious character)"	1
"sigismund ii augustus, 1548-1572"	1
"lupin, arsène (fictitious character)"	1
"ælfthryth"	1
"cheerfulness"	1
"actresses"	1
"(ocolc)fst01099892"	1
"dystopias"	1
"diligence"	1
"adventure fiction"	1
"confederate imprints"	1
"cherokee indians"	1
"stillman, william james"	1
"olympics"	1
"mesmerism in literature"	1
"356-323 b.c"	1
"robert"	1
"menken, adah isaacs"	1
"imaginary conversations"	1
"san francisco bay area (calif.)"	1
"1872-1945"	1
"spouses of clergy"	1
"lumbering"	1
"1274-1329"	1
"troubadors"	1
"happiness"	1
"schoolboys"	1
"bastille"	1
"823ol3m1866"	1
"folk-lore, bengali"	1
"song dynasty, 960-1279"	1
"weiss"	1
"henry iii, 1574-1589"	1
"pawnee language"	1
"women murderers"	1
"1734-1790"	1
"1457-1482"	1
"1857-1924"	1
"hamilton, alexander"	1
"duque de"	1
"sources"	1
"rebellion, 1914-1915"	1
"gorilla"	1
"1814-1876"	1
"urban poor"	1
"hundred years' war, 1339-1453"	1
"13th century"	1
"585?-633"	1
"viscount dundee"	1
"1821-1887"	1
"national characteristics, scottish"	1
"saltwater fishing"	1
"(frederick andrew)"	1
"soldiers of fortune"	1
"1828-1909"	1
"blockades"	1
"jubilee, 1897"	1
"1849-1928"	1
"ligne, appolline hélène (massalska)"	1
"stone & kimball"	1
"1904-1914"	1
"hausa language"	1
"823f575se"	1
"culture conflict"	1
"zola, émile"	1
"outdoor life"	1
"pet theft"	1
"assassins"	1
"823g435sc"	1
"code and cipher stories"	1
"honey"	1
"tales, bengali"	1
"1881-1949"	1
"lighthouses"	1
"aran islands (ireland)"	1
"1804-1864"	1
"king of scots"	1
"women immigrants"	1
"thanksgiving day"	1
"823h28u"	1
"homosexuality"	1
"north, frank j"	1
"1693-1721"	1
"mythology, maori"	1
"mahmud ii, 1808-1839"	1
"apologetic works"	1
"823sm9b"	1
"missing persons"	1
"criminal investigation"	1
"warner, charles dudley"	1
"southey, robert"	1
"insects"	1
"wagner, richard"	1
"augustus"	1
"croker, thomas crofton"	1
"1835-1913"	1
"divorce"	1
"charlemagne"	1
"(ocolc)fst01319287"	1
"alexander ii, 1855-1881"	1
"indians"	1
"jungles"	1
"hastings, warren"	1
"1771-1832"	1
"teachers"	1
"protestantism"	1
"(ocolc)fst01330745"	1
"tales, slavic"	1
"empress, consort of franz joseph i, emperor of austria"	1
"tales, swahili"	1
"nādir shāh"	1
"sophia dorothea"	1
"children of divorced parents"	1
"(ocolc)fst01205549"	1
"1768-1813"	1
"duchess of"	1
"dutch"	1
"1533-1917"	1
"823j23mo"	1
"godwin, william"	1
"1459-1519"	1
"women poets"	1
"istanbul"	1
"discoveries in geography"	1
"paradise lost"	1
"lytton, edward bulwer lytton"	1
"cagliostro, alessandro"	1
"stradella, alessandro"	1
"berbers"	1
"hassell, susan whitcomb"	1
"1606-1669"	1
"bounty (ship)"	1
"chinatown (san francisco, calif.)"	1
"lion, leon m"	1
"elisabeth"	1
"gold miners"	1
"control (psychology)"	1
"wren, christopher"	1
"bicycle touring"	1
"markings (provenance)"	1
"imaginary wars and battles"	1
