author	bookid	bpoids	genres	htrcids	subjects	title
Huntington Jedediah Vincent	B3595	{4416379, 8406358}		{'mdp.39015070201523'}		Lady Alice or The new Una A novel
Henty G A George Alfred	B3596	{3179921}	{'Juvenile audience', 'Novel'}	{'mdp.39015073478763'}	{'Criminal investigation', 'Juvenlie fiction', 'London', 'England'}	Colonel Thorndykes secret
Henty G A George Alfred	B3597	{3160992, 8956434}	{'Juvenile audience'}	{'mdp.39015073479332'}	{'Sepoy Rebellion, 1857-1858', 'Juvenile fiction', 'History'}	Rujub the juggler
Henty G A George Alfred	B3598	{2717629}	{'Juvenile audience'}	{'mdp.39015073481353'}	{'Franco-Prussian War, 1870-1871', 'Juvenile fiction'}	The young Franctireurs and their adventures in the FrancoPrussian War
Hill Grace Livingston	B3599	{3206427}		{'mdp.39076002647787'}	{'Juvenile fiction', 'Families'}	Recreations
Aikin Lucy	B36	{4842841}	{'Juvenile literature', 'Juvenile audience', 'Novel', 'Imaginary voyages'}	{'mdp.39015078576652'}	{'Castaways', 'Juvenile fiction', 'Shipwreck survival', 'Shipwrecks'}	The Swiss family Robinson in words of one syllable
Burnett Frances Hodgson	B360	{8808160, 8923632, 3153534}		{'mdp.39015013709871'}		The one I knew the best of all a memory of the mind of a child
Hardy Thomas	B3600	{6713689, 8584519}	{'Pastoral fiction', 'Bibliographies', 'Love stories'}	{'uiuo.ark+=13960=t73v08j17', 'uc1.32106006332305', 'uiuo.ark+=13960=t44q8kt63', 'mdp.39076005003285'}	{'X823H22F', 'Pastoral fiction', 'Women farmers', 'Triangles (Interpersonal relations)', 'England', '19th century', 'Love stories', 'Social life and customs'}	Far from the madding crowd
Hardy Thomas	B3601	{3213129}		{'mdp.49015002139294'}		Lifes little ironies and a few crusted characters
Hood Tom	B3602	{9461681}		{'njp.32101018115079', 'njp.32101018115061', 'njp.32101018115053'}		Captain Masters children  a no
Harris Corra	B3603	{6750195}		{'njp.32101042738177', 'nyp.33433076071673'}		A circuit riders widow
Hume Fergus	B3604	{8848598}		{'njp.32101063580250'}		The rainbow feather
Howard Mary M Mary Matilda	B3605	{9024998}		{'njp.32101063580532'}		Compton Merivale  another leaf from the lesson of life
Hewlett J Joseph	B3606	{4968743}		{'njp.32101063581167'}	{'Civil War, 1642-1649', 'History'}	Dunster Castle  an historical romance of the Great Rebellion
Harker L Allen Lizzie Allen Mrs	B3607	{3174071}	{'Juvenile audience'}	{'njp.32101066122621'}		A romance of the nursery
Harker L Allen Lizzie Allen Mrs	B3608	{8906290}		{'njp.32101066122639'}		His first leave
Hobbes John Oliver	B3609	{3140624, 6030589}		{'njp.32101066458546'}		The sinners comedy
Beamish North Ludlow	B361	{4695099}		{'mdp.39015016453576', 'mdp.39015016453568', 'mdp.39015016453584'}		Peace campaigns of a cornet
Hamilton Cosmo	B3610	{8945648, 6834014}		{'njp.32101067301109'}	{'English fiction'}	The infinite capacity  the story of a genius
Habberton John	B3611	{8526689}		{'njp.32101067633469'}		Other peoples children
Haliburton Thomas Chandler	B3612	{9410634, 8447083}		{'njp.32101067633691'}	{'Social life and customs'}	The old judge or Life in a colony
Hall S C Mrs	B3613	{8418820}		{'njp.32101067634111'}	{'Irish fiction'}	Midsummer Eve a fairy tale of love
Hannay James	B3614	{5009307}		{'njp.32101067634244', 'njp.32101067634236', 'njp.32101067634251'}		Eustace Conyers a novel
Hoffman Charles Fenno	B3615	{2863874, 9003548}		{'njp.32101067645877', 'njp.32101067645869'}	{'Folklore, Indian-American', 'Description and travel'}	Wild scenes in the forest and 
Hofland Barbara Mrs	B3616	{5164448}	{'Juvenile audience'}	{'njp.32101067645927'}		Integrity  tale
Hunt Alfred William Mrs	B3617	{8574737}		{'njp.32101067646842'}		Thornicrofts model
Holmes Oliver Wendell	B3618	{6717360}		{'njp.32101068140746'}	{'American fiction'}	A moral antipathy  first opening of the new portfolio
HibbertWare Mary Clementina Mrs	B3619	{9166631}		{'njp.32101068168499', 'njp.32101068168481', 'njp.32101068168473'}		Dr Harcourts assistant a tale of the present day
Borden Mary	B362	{2496124, 2457980}		{'mdp.39015016915939'}	{'Civilian relief', 'Hospitals', 'World War, 1914-1918'}	The forbidden zone
Hope Anthony	B3620	{3174213}		{'njp.32101068169638'}	{'Fiction (English)', 'English fiction'}	The Dolly dialogues
Haven Alice B Alice Bradley	B3621	{8709978}		{'njp.32101068170123'}		Where theres a will theres a w
Hornblower Jane Elizabeth Roscoe	B3622	{8613424}		{'njp.32101068170388'}		Vara or The child of adoption
Howard Charles F	B3623	{8632065}		{'njp.32101068170636'}		Gilbert Midhurst MP
Hughes William	B3624	{4975855}		{'njp.32101068171188', 'njp.32101068171196', 'njp.32101068171204'}		The three students of Grays inn a novel
Howitt William	B3625	{9021645, 4987953, 8419445}		{'njp.32101068171238', 'njp.32101068171220', 'njp.32101068171212'}		Madam Dorrington of the Dene the story of a life
Hatton Joseph	B3626	{9166680}		{'njp.32101068178837', 'njp.32101068178852'}		The Tallants of Barton a tale of fortune and finance
Harben Will N William Nathaniel	B3627	{8884153, 6834542, 3171943}		{'njp.32101068178944'}		The substitute
Hood Thomas	B3628	{8399717}		{'njp.32101068582939', 'njp.32101068582921'}		Whimsicalities  a periodical g
Harris Joel Chandler	B3629	{8821256}	"{""Children's stories"", ""Publishers' advertisements""}"	{'njp.32101068598935'}	"{'Brer Rabbit (Legendary character)', 'Juvenile fiction', 'Storytelling', ""Children's stories"", 'Plantation life'}"	Plantation pageants
BaitālPachīsī	B363	{3172530, 6650381, 8800903}		{'mdp.39015019958241'}		Vikram and the vampire or Tales of Hindu devilry
Hawthorne Nathaniel	B3630	{4969594}	{'Bibliographies'}	{'njp.32101068599248', 'uc2.ark+=13960=t93776r0m', 'njp.32101068599230'}	{'Social life and customs', '19th century'}	Mosses from an old manse
Harrison Burton Mrs	B3631	{6806089, 3177948, 9000239}		{'njp.32101072040106'}		A princess of the hills  an Italian romance
Harrison Burton Mrs	B3632	{8851767}		{'njp.32101072040148'}		A triple entanglement
Hudson W H William Henry	B3633	{6696867, 8761606}	{'Bibliographies'}	{'nnc1.0022575324', 'nnc1.0035530944'}	{'Description and travel'}	The purple land that England lost Travels and adventures in the Banda Oriental South America
Hardy Arthur Lemuel	B3634	{8902743}		{'nnc1.0026608510'}		The clutch of circumstance
Hardy Francis H	B3635	{8961832, 6799034, 3172652, 6783999}		{'nnc1.1000918407'}		To the healing of the sea a no
Houssaye Arsène	B3636	{9035432}		{'nnc1.1002563770', 'nnc1.1002563762', 'nnc1.1002563720'}		Men and women of France during the last century
Harvey William	B3637	{6838817}		{'nnc1.cr60059940'}	{'Social life and customs', 'National characteristics, Scottish', 'Scottish wit and humor'}	Scottish life and character in anecdote and story
Harte Bret	B3638	{3173384}		{'nnc1.cu11651725'}		A protégée of Jack Hamlins and other stories
Harte Bret	B3639	{6498207}		{'nnc1.cu11651865'}		A ward of the Golden Gate
Beckwourth James Pierson	B364	{9004208, 9441016}		{'mdp.39015020834878'}	{'Frontier and pioneer life', 'Crow Indians', 'West (U.S.)'}	The life and adventures of James P Beckwourth mountaineer scout and pioneer and chief of the Crow nation of Indians
Holmes Oliver Wendell	B3640	{8801480}		{'nnc1.cu11710233', 'nnc1.cu11710497', 'nnc1.cu11710500', 'nnc1.cu11710250'}		The writings of Oliver Wendell Holmes in thirteen volumes
Hamilton John A John Arthur	B3641	{6670816, 8986856, 3278414}	{'Mystery fiction'}	{'nyp.33433044068033'}	{'History'}	The ms in a red box
Harrison W H William Henry	B3642	{5218615}		{'nyp.33433074793690'}		Christmas tales historical and domestic
Heath Charles	B3643	{5147584}		{'nyp.33433074795489'}	{'Illustrations', 'Women in literature', 'Portraits of women', '1771-1832', 'Scott, Walter'}	Heaths Waverley gallery of the principal female characters in Sir Walter Scotts romances and poems From original paintings by eminent artists
Hall Bolton	B3644	{3197992}		{'nyp.33433074804158'}		The game of life
Haggard H Rider Henry Rider	B3645	{8914101}		{'nyp.33433074850169'}		The mahatma and the hare a dream story
Haggard H Rider Henry Rider	B3646	{8877448, 3530444}		{'nyp.33433074850235'}	{'English fiction', 'Wars of Independence, 1556-1648', 'History'}	Lysbeth a tale of the Dutch
Hon Henniker Florence Ellen Hungerford Milnes	B3647	{6833120, 6670096}		{'nyp.33433074850326'}		Contrasts
Harris Joel Chandler	B3648	{8851311}		{'nyp.33433074850573'}		Tales of the home folks in peace and war
Hart Mabel	B3649	{6775850, 8890135}		{'nyp.33433074850631'}		Sacrilege farm
Blake George	B365	{3207183}		{'mdp.39015021634954'}		The path of glory
Harrison Susie Frances Riley	B3650	{6802760, 8855261}		{'nyp.33433074850680'}		The forest of BourgMarie
Harraden Beatrice	B3651	{3188255}		{'nyp.33433074850748'}		The guiding thread
HarrisBurland J B John Burland	B3652	{8921322, 6831580}		{'nyp.33433074850888'}	{'English fiction'}	Love the criminal
HarrisBurland J B John Burland	B3653	{8926284}		{'nyp.33433074850904'}	{'English fiction'}	The broken law
Harker L Allen Lizzie Allen Mrs	B3654	{2436474}		{'nyp.33433074851043'}		The Ffolliots of Redmarley
Hannay David	B3655	{8445128, 4972832, 9016092}		{'nyp.33433074851118'}	{'Scottish authors', 'English fiction'}	Ned Allen or The past age
Hamilton Cosmo	B3656	{8959384}		{'nyp.33433074852736'}		The miracle of love
Hamilton Cosmo	B3657	{6844621}		{'nyp.33433074852744'}		The Princess of New York
Hanshew Mary E	B3658	{3206868}		{'nyp.33433074852918'}		The riddle of the purple emper
Hawtrey Valentina	B3659	{8984691}		{'nyp.33433074852967'}		In a desert land
Burrows E Mrs	B366	{8660748, 8648452}		{'mdp.39015021933646'}		Household proverbs or Tracts for the people
Hawthorne Nathaniel	B3660	{6252765, 8640526}		{'nyp.33433074853031'}		Transformation  or The romance of Monte Beni
Heddle Ethel F	B3661	{6768566}		{'nyp.33433074853080'}	{'English fiction'}	A mystery of St Rules
Hope Anthony	B3662	{9409955, 3433685}	{'History'}	{'nyp.33433074853197'}	{'Charles II, 1660-1685', 'History'}	Simon Dale
Hay Mary Cecil	B3663	{8693814}		{'nyp.33433074853213'}	{'English fiction'}	Victor and vanquished A novel
Hay Mary Cecil	B3664	{8616447}		{'nyp.33433074853221'}	{'English fiction'}	The squires legacy  a novel
Hayllar Florence	B3665	{3160696, 6828077}		{'nyp.33433074853262'}	{'English fiction'}	Nepenthes
Hope Anthony	B3666	{3166649}	"{""Publishers' cloth bindings (Binding)"", 'Romantic suspense fiction', 'New York', 'New York (State)', 'Love stories'}"	{'nyp.33433074857636'}	{'English fiction'}	The chronicles of Count Antoni
Hope Anthony	B3667	{8903602}		{'nyp.33433074857693'}		A servant of the public
Hatton Joseph	B3668	{6761181}		{'nyp.33433074857776'}		The white king of Manoa
Hatton Joseph	B3669	{8949675}		{'nyp.33433074857784'}		The dagger and the cross a romance
Blasco Ibáñez Vicente	B367	{3210143}		{'mdp.39015027190902'}	{'World War, 1914-1918'}	The four horsemen of the Apocalypse Los cuatro jinetes del Apocalipsis
Hatton Joseph	B3670	{6791613}		{'nyp.33433074857867'}	{'English fiction'}	When rogues fall out  a romance of old London
Haverfield E L	B3671	{3182145}		{'nyp.33433074857933'}	{'English fiction'}	The sows ear
Harrison Mary St Leger Kingsley	B3672	{4085531, 6801327}		{'nyp.33433074857982'}	{'English fiction'}	The history of Sir Richard Calmady  a romance
Harrison Burton Mrs	B3673	{8900201, 6828543}		{'nyp.33433074858022'}		Latterday sweethearts
Harrison Herbert	B3674	{6837079}		{'nyp.33433074858048'}		A lad of Kent
Helps Arthur Sir	B3675	{2461765, 8659407}		{'nyp.33433074858089'}		Realmah
Henty G A George Alfred	B3676	{8981559}	{'Juvenile audience'}	{'nyp.33433074858147'}		A hidden foe
Herbert Henry William	B3677	{8237855}		{'nyp.33433074858196'}		Marmaduke Wyvil or The maids revenge A historical romance
Howard F Morton	B3678	{3187924}		{'nyp.33433074861307'}		Happy rascals
Howard Mabel Lady	B3679	{3166488, 6789056}		{'nyp.33433074861349'}	{'English fiction'}	The undoing of John Brewster
Beck L Adams Lily Adams	B368	{2449598}	{'ContainsBiogMaterial'}	{'mdp.39015027531816'}	{'Robinson, Mary', '1758-1800'}	The exquisite Perdita
Hueffer Oliver Madox	B3680	{6817912}		{'nyp.33433074861554'}		The artisitic temperament
Hussey Eyre	B3681	{8923772, 3168166}		{'nyp.33433074861679'}	{'English fiction'}	A girl of resource
Howard Edward	B3682	{5809563}	{'Bibliographies'}	{'nyp.33433074861885', 'nyp.33433074861893'}		Rattlin the reefer
Hume Fergus	B3683	{9006588, 3188231}		{'nyp.33433074861919'}		Lady Jim of Curzen street a novel
Hume Fergus	B3684	{6802233}	{'Mystery fiction'}	{'nyp.33433074861943'}		The millionaire mystery
Hume Fergus	B3685	{9425725}		{'nyp.33433074862008'}		The mystery of the shadow
Hall S C Mrs	B3686	{4699252, 9025287}		{'nyp.33433074862727', 'nyp.33433074862735'}	{'Irish fiction'}	Sketches of Irish character
Hall S C Mrs	B3687	{6191148, 5225751}		{'nyp.33433074862743'}	{'Women', 'Irish fiction'}	Tales of womans trials
Hall Owen	B3688	{8835141}		{'nyp.33433074862792'}	{'English fiction'}	The track of a storm
Halifax Robert	B3689	{8938356, 6748909, 6891910}		{'nyp.33433074862826'}		A slice of life
Böhme Margarete	B369	{3185398}		{'mdp.39015028790494'}		The department store
Halifax Robert	B3690	{6811362}		{'nyp.33433074862834'}	{'English fiction'}	A whistling woman
Hewlett Maurice Henry	B3691	{9017318}		{'nyp.33433074862990'}	{'CU-BANC', 'Twain, Mark', '1835-1910', 'Library'}	Fond adventures tales of the youth of the world
Herbertson Jessie Leckie	B3692	{6744144, 8934546}		{'nyp.33433074863824'}		Young life
Hill Headon	B3693	{8914069}		{'nyp.33433074864277'}	{'English fiction'}	Unmasked at last
Hogg James	B3694	{5172822}		{'nyp.33433074868179', 'nyp.33433074868161'}	{'Scottish authors', 'English fiction'}	The three perils of woman or Love leasing and jealousy A series of domestic Scottish tales
Hogg James	B3695	{4693853}		{'nyp.33433074868187'}	{'English fiction', '17th century', 'History', 'Scottish authors'}	Tales of the wars of Montrose
Hocking Joseph	B3696	{6791718}	{'Novel'}	{'nyp.33433074868278'}	{'English fiction'}	Fields of fair renown
Hocking Joseph	B3697	{6803106}		{'nyp.33433074868294'}		The birthright
Holdsworth Ethel	B3698	{3210166}		{'nyp.33433074868708'}		Helen of Four Gates
Hyde John Dalison	B3699	{3196476}		{'nyp.33433074868971'}		The feet of the years
Arlen Michael	B37	{3196693}		{'mdp.39076002870140'}		The London venture
Becke Louis	B370	{6694204}		{'mdp.39015029241703'}		The adventures of Louis Blake
Hyne Charles John Cutcliffe Wright	B3700	{3178152, 6792850, 8892267}		{'nyp.33433074869011'}		Thompsons progress
Hume Fergus	B3701	{6853774}		{'nyp.33433074869623'}	{'English fiction'}	The sacred herb
Hume Fergus	B3702	{6820317}		{'nyp.33433074869680'}		The yellow holly
Hichens Robert Robert Smythe	B3703	{6798225, 8886821, 6799158}		{'nyp.33433074870027'}		The prophet of Berkeley Square
Holland Clive	B3704	{6786002}		{'nyp.33433074870209'}		Marcelle of the quarter
Hewlett Maurice Henry	B3705	{8918968, 6685464}		{'nyp.33433074870274'}		The stooping lady
Hewlett Maurice Henry	B3706	{9027785}		{'uc2.ark+=13960=t0dv1j45b', 'nyp.33433074870340'}		The Spanish jade
Hewlett Maurice Henry	B3707	{6848680, 9074369, 2439439}		{'nyp.33433074870357'}		The song of Renny
Hichens Robert Robert Smythe	B3708	{6791851, 6818653}		{'nyp.33433074870670'}		Tongues of conscience
Hill William Kirkpatrick	B3709	{6827274}		{'nyp.33433074870696'}	{'English fiction'}	Edwin Trafford altruist  an economic romance
Bojer Johan	B371	{3299323}		{'mdp.39015030017837'}	{'1882-1929', '(William John Alexander)', 'Worster, W. J. Alexander'}	The great hunger
Hocking Joseph	B3710	{3145750}		{'nyp.33433074870829'}		Mistress Nancy Molesworth a tale of adventure
Hunt Violet	B3711	{8936554}		{'nyp.33433074871926'}	{'English fiction'}	The wife of Altamont
Howitt Mary Botham	B3712	{9017142}		{'nyp.33433074872015'}		The heir of WastWayland  a tal
Housman Laurence	B3713	{3172236, 6784572}		{'nyp.33433074872049'}		Gods and their makers
Housman Laurence	B3714	{6681651}	{'Biography', 'Novel'}	{'nyp.33433074872072'}	{'English fiction'}	Sabrina Warham  the story of h
Hunt Violet	B3715	{2433787}		{'nyp.33433074872114'}	{'English fiction'}	The celebritys daughter
Hudson W H William Henry	B3716	{8993866}	{'Juvenile audience'}	{'nyp.33433074872155'}	{'Short stories'}	Tales of the Pampas
Hudson W H William Henry	B3717	{3215894}		{'nyp.33433074872171'}	{'AElfthryth', 'Birds', 'Queen consort of Edgar', 'queen consort of Edgar, 945?-1000', 'queen consort of Edgar', 'Ælfthryth', 'Queen Consort of Edgar', '????lfthryth', '945?-1000', '945?-1000. [from old catalog]'}	Dead Mans Plack and An old tho
Hort Alfred Mrs	B3718	{9437081}		{'nyp.33433074872262', 'nyp.33433074872270'}		Hena or Life in Tahiti a novel
Housman Laurence	B3719	{3285010, 6694981}		{'nyp.33433074872312'}	{'Short stories, English'}	The cloak of friendship
Bojer Johan	B372	{3230728}		{'mdp.39015030017894'}		The new temple
Hornung E W Ernest William	B3720	{8974397}		{'nyp.33433074872403'}	{'English fiction', 'Detective and mystery stories, English'}	The shadow of the rope
Hussey Eyre	B3721	{6792082, 6760931, 8869060}		{'nyp.33433074874144'}	{'English fiction'}	On account of Sarah
Hope Jessie	B3722	{8880230}		{'nyp.33433074874672'}		The triumph of Count Ostermann
Horn Kate	B3723	{9432496}		{'nyp.33433074876354'}	{'English fiction'}	Ships of desire
Horlick Jittie	B3724	{6866939}		{'nyp.33433074876412'}	{'English fiction'}	Jewels in brass
Hodder George	B3725	{5823379}		{'nyp.33433074931498'}	{'Humor', 'Law'}	Sketches of life and character  taken at the police court Bow Street
Haliburton Thomas Chandler	B3726	{5898330, 9180196}		{'nyp.33433074931530'}		Sam Slicks wise saws and modern instances or What he said did or invented
Haliburton Thomas Chandler	B3727	{8609115}		{'nyp.33433074931548'}		Nature and human nature
Haliburton Thomas Chandler	B3728	{8887463, 9419922, 8906778, 4703911}		{'nyp.33433074931563'}	{'Canadian wit and humor'}	The clockmaker or the sayings and doings of Samuel Slick of Slickville
Hobbes John Oliver	B3729	{6847057, 8902351}		{'nyp.33433074949144'}		The dream and the business
Bjørnson Bjørnstjerne	B373	{9435730}		{'mdp.39015030023124'}		Arne A sketch of Norwegian country life
Hobbes John Oliver	B3730	{6755507, 8899493}		{'nyp.33433074949177'}		Love and the soul hunters
Hackländer F W Friedrich Wilhelm	B3731	{9458191}		{'nyp.33433075738462'}		Forbidden fruit
Hopkins Tighe	B3732	{3259127}		{'nyp.33433076063803'}		Lady Bonnies experiment
Hill George Canning	B3733	{9010022}		{'nyp.33433076064082'}		Cap sheaf a fresh bundle
Hopkins William John	B3734	{6833937}		{'nyp.33433076064249'}		Old Harbor
Hill Marion Mrs	B3735	{3214677}		{'nyp.33433076064421'}		The toll of the road
Hill Marion Mrs	B3736	{3211543}		{'nyp.33433076064447'}		McAllisters grove
Holland Rupert Sargent	B3737	{6810057}		{'nyp.33433076064629'}		The Count at Harvard  being an account of the adventures of a young gentleman of fashion at Harvard University
Hodges Arthur	B3738	{3180681}		{'nyp.33433076064751'}		Pincus Hood
Hough Emerson	B3739	{6792763, 8864405}		{'nyp.33433076064827'}		The girl at the Halfway house a story of the plains
Beckford William	B374	{8922641}	{'Bibliographies'}	{'mdp.39015030141074', 'njp.32101068138120'}		The episodes of Vathek
Haworth Paul Leland	B3740	{8947264}		{'nyp.33433076076417'}		The path of glory
Hatton Joseph	B3741	{8966058}		{'nyp.33433076076441'}		When Greek meets Greek a tale of love and war
Hurd Grace Marguerite	B3742	{6799930}		{'nyp.33433076079320'}		The Bennett twins
Huntington J V Jedediah Vincent	B3743	{8762705}		{'nyp.33433076079361'}		Rosemary or Life and death
Hurst Edward Harry	B3744	{9052989}		{'nyp.33433076079718'}		Mystery Island
Hutchinson Horace G Horace Gordon	B3745	{8899264, 6805520}		{'nyp.33433076079791'}		Two moods of a man
Herrick Robert	B3746	{8934232, 6812057, 3187796}		{'nyp.33433076082274'}		The healer
Herrick Robert	B3747	{3157768}		{'nyp.33433076082282'}		The gospel of freedom
Hains T Jenkins Thornton Jenkins	B3748	{8903336}	{'Sea stories'}	{'nyp.33433076083678'}	{'Sailors', 'Social classes', 'Man-woman relationships', 'Conduct of life'}	The voyage of the Arrow  to the China Seas  its adventures and perils including its capture by Sea Vultures from the Countess of Warwick as set down by William Gore Chief Mate
Howells William Dean	B3749	{6797268}		{'nyp.33433076083801', 'uc2.ark+=13960=t5bc3tf0z'}		Their silver wedding journey
Bjørnson Bjørnstjerne	B375	{8673083}		{'mdp.39015030205366'}		The happy boy a tale of Norwegian peasant life
Hueston Ethel	B3750	{3187838}		{'nyp.33433076084072'}		Prudence of the parsonage
Hawthorne Nathaniel	B3751	{5897802, 9447099, 6776478}	{'Bibliographies'}	{'nyp.33433076087844'}		The Blithedale romance
Harris Joel Chandler	B3752	{8879473, 6758300}	{'History'}	{'nyp.33433076088305'}	{'United States', 'History', 'War stories, American', 'Civil War, 1861-1865'}	On the wing of occasions being the authorized version of certain curious episodes of the late Civil War including the hitherto suppressed narrative of the kidnapping of President Lincoln
Harris Miriam Coles	B3753	{8927354}		{'nyp.33433076088446'}	{'American fiction'}	The tents of wickedness
Head Francis Bond Sir	B3754	{4696468, 5155663}		{'nyp.33433081694543'}	{'Pampas', 'Andes', 'Description and travel', 'Argentina', 'Mines and mineral resources', 'Gauchos', 'Pampas (Argentina)', 'South America'}	Rough notes taken during some rapid journeys across the Pampas and among the Andes
Howells William Dean	B3755	{6796786}		{'uc2.ark+=13960=t4nk37884', 'nyp.33433082295324'}	{'African Americans', 'Short stories, American', 'American literature', 'American fiction', 'Southern States'}	Southern lights and shadows
Hetzel PierreJules	B3756	{8664206}	{'Juvenile audience'}	{'nyp.33433082348883'}		Little Rosys voyage of discovery undertaken in company with her cousin Charley
Hamel Frank	B3757	{6752533}		{'nyp.33433082414925'}	{'ca. 1422-1450', 'Sorel, Agnès'}	The lady of beauty Agnes Sorel
Harris Joel Chandler	B3758	{6768352, 8851261}		{'nyp.33433082547161'}		Aaron in the wildwoods
Hall S C Mrs	B3759	{9435847}	{'Juvenile audience', 'Fairy tales'}	{'nyp.33433088074723'}	{'Fairy tales'}	The prince of the Fair family  a fairy tale
Barrie J M James Matthew	B376	{3228357}		{'mdp.39015030702370'}		Farewell Miss Julie Logan a wintry tale
Hill Brian	B3760	{3238399}		{'osu.32435000724534'}		Murder in full flight
Hosken Clifford James Wheeler	B3761	{3323449}		{'osu.32435001801232'}		Carterets cure
Holliston Carol	B3762	{3237411}	{'Love stories'}	{'osu.32435066780701'}	{'Parent and child', 'Money', 'Man-woman relationships'}	Make believe
Huxley Aldous	B3763	{2448937}		{'pst.000005375714'}		Eyeless in Gaza
Harland Marion	B3764	{4918408, 8626462}		{'pst.000006181857'}		The hidden path
Harraden Beatrice	B3765	{6814017}		{'pst.000006675936'}		Hilda Strafford
Heney Thomas William	B3766	{9206096}		{'pst.000006676582'}		The girl at Birrells  a pastoral of the Paroo
Hichens Robert Robert Smythe	B3767	{8911016, 6841285}		{'pst.000006678180'}		The call of the blood
Higgins W Mullinger William Mullinger	B3768	{8558848}		{'pst.000006678425'}	{'Aristomenes', 'the Messenian'}	Aristomenes  a Grecian tale
Hampden John	B3769	{3216976}		{'pst.000009864269'}	{'Ghost stories'}	Ghost stories
Belloc Hilaire	B377	{3178122, 9453420}		{'mdp.39015030735255'}		A change in the cabinet
Hémon Louis	B3770	{3215273}		{'uva.x004619705', 'pst.000043529889'}		Maria Chapdelaine
Huxley Aldous	B3771	{2448538}		{'uc1.$b103219'}		Point counter point
Holmes Oliver Wendell	B3772	{6717705}	{'ContainsBiogMaterial'}	{'uc1.$b156079', 'uva.x001850702'}		Over the teacups
Haggard H Rider Henry Rider	B3773	{8952940}		{'uc1.$b162550'}	{'Mexico', 'Conquest, 1519-1540', 'History'}	Montezumas daughter
Hamley Edward Bruce Sir	B3774	{6195339, 8608620}		{'uc1.$b249272', 'uc2.ark+=13960=t3jw8cb32'}		Lady Lees widowhood
Harte Bret	B3775	{8915440, 6450235}		{'uc1.$b251148', 'uc1.$b251149'}	{'American literature'}	The crusade of the Excelsior
Hill Headon	B3776	{3148179}		{'uc1.$b251496'}		The divinations of Kala Persad and other stories
Hallifax Sydney	B3777	{6794765}		{'uc1.$b281031'}	{'Lodging-houses', 'Great Britain'}	Annals of a doss house
Hilton James	B3778	{3227885}		{'uc1.$b300879'}		The passionate year
Hodson James Lansdale	B3779	{2484868}		{'uc1.$b300889'}	{'World War, 1914-1918'}	Grey dawnred night
Belloc Hilaire	B378	{3230017}		{'mdp.39015030735503'}	{'20th century'}	But softwe are observed
Holme Constance	B3780	{2454721, 2497006}		{'uc1.$b300898'}		Hewhocame
Holtby Winifred	B3781	{3229298, 2493844}		{'uc1.$b300918'}		Mandoa Mandoa A comedy of irre
Hudson Stephen	B3782	{3213815}		{'uc1.$b300937'}		Richard Myrtle and I
Hutchinson Vere	B3783	{8980222}		{'uc1.$b300962'}		The naked man
Houghton Claude	B3784	{3225132}		{'uc1.$b302151'}		I am Jonathan Scrivener
Howitt William	B3785	{2867278}		{'uc1.$b308300'}		The boys country book
Heuser Kurt	B3786	{2485314}		{'uc1.$b313754'}		The inner journey
Hémon Louis	B3787	{8926995, 8969765}		{'uc1.$b318429'}		Blind mans buff
Hall Basil	B3788	{5809893, 4697589, 8322607}		{'uc1.$b320697'}	{'d. 1835', 'Styria (Austria)', 'Description and travel', 'Purgstall, Jane Anne Cranstoun', 'Gr???_fin von'}	Schloss Hainfeld or A winter in lower Styria
Hellström Gustaf	B3789	{2439248}		{'uc1.$b473035'}		Lacemaker Lekholm has an idea
Bellamannn Henry	B379	{3213347, 3215375}		{'mdp.39015030735644'}		Crescendo
Herring Robert	B3790	{3237894}		{'uc1.$b56651'}		Adam and Evelyn at Kew or Revolt in the gardens
Hare Augustus J C Augustus John Cuthbert	B3791	{6654570}		{'uc1.$b753638'}	{'1834-1903', 'Hare, Augustus J. C', 'Hare, Augustus John Cuthbert', '(Augustus John Cuthbert)'}	The story of my life
Harker L Allen Lizzie Allen Mrs	B3792	{6843749}		{'uc1.$b783881'}		Concerning Paul and Fiammetta
Holland J G Josiah Gilbert	B3793	{8650109}		{'uc1.$b809229'}		Miss Gilberts career  an American story
Holmes Oliver Wendell	B3794	{8648846}	{'ContainsBiogMaterial'}	{'uc1.$b809249'}	{'American essays'}	The professor at the breakfasttable with the story of Iris
Hoffmann E T A Ernst Theodor Amadeus	B3795	{9176729}		{'uc1.31158002285814'}		Money and its influence A tale
Haggard H Rider Henry Rider	B3796	{9060933}		{'uc1.31158009834861'}	{'Pharaohs', 'Egyptians'}	Morning Star
Haggard H Rider Henry Rider	B3797	{3174390, 6784807}		{'uc1.32106001937835'}	{'(OCoLC)fst01184885', '(OCoLC)fst01239509', 'Zulu (African people)'}	Black heart and white heart  and other stories
Hammett Dashiell	B3798	{2441778}		{'uc1.32106002113261'}	{'Spade, Sam (Fictitious character)'}	The Maltese falcon
Higginson Thomas Wentworth	B3799	{9013050}		{'uc1.32106005496531'}		Malbone an Oldport romance
Ainsworth William Harrison	B38	{8868459, 3149957}	{'ContainsBiogMaterial'}	{'nc01.ark+=13960=t0rr2r37s', 'njp.32101068163219'}		The spendthrift
Benson Arthur Christopher	B380	{6897895}		{'mdp.39015030745965'}		Watersprings
Hardy Thomas	B3800	{8621966}		{'mdp.39015008968631', 'uc1.32106006340563'}		The Hand of Ethelberta
