author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Dixon Thomas	B2189	{8909222}	{'Political fiction', 'Bibliographies', 'Novel'}	{'nyp.33433074809504'}	{'Ku Klux Klan (19th cent.)', 'Race relations', 'Newspaper editors', 'United States', 'White supremacy movements', 'Reconstruction (U.S. history, 1865-1877)'}	The sins of the father a romance of the South		1912
Evans Augusta J Augusta Jane	B2596	{9458182}	"{""Publishers' bindings (Binding)"", 'United States'}"	{'uc1.b4102284'}	{'History', 'Civil War, 1861-1865'}	Macaria		1864
Risley R V Richard Voorhees	B6997	{6789449}		{'nyp.33433076047897'}	{'American fiction'}	The sentimental Vikings		1897
Cooper E H Edward Herbert	B1760	{8819625, 6774151}		{'uc2.ark+=13960=t5m90414w'}	{'American fiction'}	Resolved to be rich		1899
Banks Elizabeth L	B899	{4089393}		{'uc2.ark+=13960=t3cz3331w'}	{'Biography', 'Women journalists', 'United States', 'IsBiographical', 'Banks, Elizabeth L'}	The autobiography of a newspaper girl		1902
Atherton Gertrude Franklin Horn	B203	{3174984, 6793866}		{'uva.x004011480'}	{'(OCoLC)fst01204155', 'Race relations', 'Color line', 'United States', 'Congress', 'Senate', '(OCoLC)fst01086509'}	Senator North		1900
Brady Cyrus Townsend	B922	{8999322}		{'uc2.ark+=13960=t4zg6gk22'}	{'American fiction'}	The corner in coffee		1904
Webster Jean	B8774	{3281679, 3207415}		{'uc2.ark+=13960=t2g737892'}	{'American fiction'}	Much ado about Peter		1909
Garland Hamlin	B3172	{3219056}	{'Autobiography'}	{'nyp.33433082405808'}	{'Northeastern States', 'Frontier and pioneer life', 'Northwestern States'}	A son of the middle border		1917
Wister Owen	B8813	{6791202, 8971835}	{'Biography', 'Western stories'}	{'uc2.ark+=13960=t7pn8z91m'}	{'American fiction'}	Lin McLean		1898
Allen James Lane	B100	{8850699, 3167781, 6786359}		{'nyp.33433082168851'}	{'American fiction'}	The choir invisible		1897
Ryley Madeleine Lucette	B7004	{6762793}		{'nyp.33433076052400'}	{'Women authors, American', 'American fiction', '19th century'}	An American citizen		1898
Beauclerk Caroline Frederica	B582	{8781385, 4696693}		{'nyp.33433074833041'}	{'American fiction'}	Tales of fashion and reality		1836
Forbes Esther	B2668	{3231952, 2454430}		{'mdp.39015003675520'}	{'Massachusetts', 'Witchcraft', 'Salem'}	A mirror for witches in which is reflected the life machinations and death of famous Doll Bilby who with a more than feminine perversity preferred a demon to a mortal lover  here is also told how and why a righteous and most awfull judgment befell her destroying both corporeal body and immortal soul		1928
Payne Will	B6580	{6805625}		{'nyp.33433076051048'}	{'American fiction'}	Jerry the dreamer		1896
Cody H A Hiram Alfred	B1628	{8948297}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433082520903'}		The chief of the ranges  a tale of the Yukon		1913
Skene Felicia	B7304	{4858218, 4373155}		{'dul1.ark+=13960=t5x64812v'}	{'Oxford (England)', 'American fiction', 'Prisons', 'England', 'Provenance', 'Prostitutes', 'Benson, C. S'}	Hidden depths		1866
Lee Holme	B5008	{8524432, 8736412, 6181303}		{'uiuo.ark+=13960=t88g96s10', 'uiuo.ark+=13960=t3tt56p15', 'uiuo.ark+=13960=t01z4sj1f'}	{'American fiction'}	Against wind and tide		1859
Burnett Frances Hodgson	B1268	{8968211}	"{""Publishers' cloth bindings (Binding)"", 'New York (State)', 'New York', 'Historical fiction'}"	{'coo.31924021965714'}		A lady of quality being a most		1896
Parrish Randall	B6505	{8915911}		{'nnc1.cu58326820'}	{'French and Indian War, 1755-1763', 'History', 'United States', 'French and Indian War, 1754-1763'}	A sword of the old frontier  a tale of Fort Chartres and Detroit		1905
HobartHampden Augustus Charles	B3502	{6732133}		{'loc.ark+=13960=t5w674q3g'}	{'Adventure and adventurers', 'Blockades', 'United States', 'History', 'Civil War, 1861-1865'}	Sketches from my life		1886
Baker William M William Mumford	B566	{8895400, 3178923}		{'nyp.33433074800891'}	{'American fiction'}	The making of a man		1883
Leland Charles Godfrey	B4874	{8751522}	{'Bibliographies'}	{'nyp.33433081750147'}	{'Indians of North America', 'New England', 'Algonquian mythology', 'Tales', 'Legends', 'Algonquian Indians', 'Folklore'}	The Algonquin legends of New England  or Myths and folk lore of the Micmac Passamaquoddy and Penobscot tribes		1884
Stockton Frank Richard	B7522	{3158454, 3165519}	{'American fiction'}	{'nyp.33433076022288'}		The adventures of Captain Horn		1895
Norris Frank	B6139	{6799889, 3151140}		{'uc1.32106002078076'}	{'American fiction'}	A mans woman		1900
Griggs Sutton E  Sutton Elbert	B3266	{6869575}		{'uc2.ark+=13960=t4xg9g41k'}	{'African Americans'}	Overshadowed		1901
Stowe Harriet Beecher	B7334	{9442813}	{'Bibliographies', 'Novel'}	{'mdp.39015004956234'}	{'United States', 'Slavery', 'Juvenile literature'}	Uncle Toms cabin or Life among the lowly		1851
Nichols Mary Sargeant Gove	B6106	{8625569}	{'ContainsBiogMaterial'}	{'nyp.33433068179161'}	{'American fiction'}	Mary Lyndon  or Revelations of a life An autobiography		1855
Gregor Elmer Russell	B3176	{3206146}		{'nyp.33433082547336'}	{'Indians of North America'}	The White Wolf		1921
Parrish Randall	B6650	{9282476}		{'uc2.ark+=13960=t3319sj8v'}	{'United States', 'History', 'Civil War, 1861-1865'}	My lady of the North		1904
Stowe Harriet Beecher	B7624	{4995392, 4450378}	{'Juvenile audience', 'Bibliographies'}	{'uc1.b4145140'}	{'Master and servant', 'Plantation life', 'United States', 'Slaves', 'Southern States', 'Uncle Tom (Fictitious character)', 'Fugitive slaves', 'Slavery', 'African Americans', 'History'}	Uncle Toms cabin		1852
Bernard John	B940	{4698077}		{'uc2.ark+=13960=t6348rv1k'}	{'Great Britain', 'United States', 'Theater'}	Retrospections of the stage		1828
Mayo William Starbuck	B5539	{4982577, 9015907}		{'nyp.33433076036775'}	{'American fiction', 'Berbers'}	The Berber or The mountaineer of the Atlas A tale of Morocco		1850
Dreiser Theodore	B2318	{8879594, 6789718}	{'Bibliographies', 'Bildungsromane', 'Didactic fiction'}	{'uc2.ark+=13960=t1hh6d619'}	{'Sister Carrie', '1871-1945', 'Illinois', 'Chicago', 'Dreiser, Theodore', 'Young women', 'Mistresses', 'Milligate, Michael', 'New York', 'New York (State)'}	Sister Carrie		1917
Maddox Pearl Graves	B5536	{8969291, 6757379}		{'nyp.33433076025190'}	{'American fiction'}	The precipice		1917
Jacobs Harriet A Harriet Ann	B4397	{9443738}		{'wu.89098876212'}	{'United States', 'Social conditions', 'African American authors', 'American literature', 'Slaves'}	The deeper wrong or Incidents in the life of a slave girl		1862
Harte Bret	B3804	{3265551}		{'uc1.b3123747'}	{'Western stories', 'American fiction'}	Tales of trail and town		1890
Roe A S Azel Stevens	B6957	{4987209, 8631841}		{'njp.32101065710228'}	{'American fiction'}	The star and the cloud or A daughters love		1853
Meldrum David Storrar	B5428	{8979712, 6808116, 6771830}	"{""Publishers' cloth bindings (Binding)"", 'United States'}"	{'nyp.33433074890462'}	{'Love stories'}	The conquest of Charlotte		1902
Lindsey William	B4864	{8936242}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433076074313'}	{'Troubadors'}	The severed mantle		1909
Beckwourth James Pierson	B364	{9004208, 9441016}		{'mdp.39015020834878'}	{'Frontier and pioneer life', 'Crow Indians', 'West (U.S.)'}	The life and adventures of James P Beckwourth mountaineer scout and pioneer and chief of the Crow nation of Indians		1856
Seton Ernest Thompson	B7320	{3172093}	{'Bibliographies'}	{'loc.ark+=13960=t18k85d1c'}	{'Outdoor life', 'Indians of North America', 'Camping', 'Animals', 'Scouts and scouting', 'North America', 'Anecdotes', 'Natural history'}	Rolf in the woods		1911
Ross Mrs	B6884	{8197044}	"{'New York', 'New York (State)', ""Publishers' advertisements"", 'Novels'}"	{'hvd.32044081390635'}		The bachelor and the married man or The equilibrium of the balance of comfort  Fourteen lines from Harris  Three volumes in two Volume III		1818
Green Anna Katharine	B3162	{9054509}		{'nyp.33433076089972'}	{'American fiction'}	The house of the whispering pines		1910
Harte Bret	B3946	{8956131, 3174751}		{'uc1.b4445878', 'uc2.ark+=13960=t88g8gp1k'}	{'American fiction'}	Mr Jack Hamlins mediation		1889
Ross Mrs	B7204	{8197044}	"{'New York', 'New York (State)', ""Publishers' advertisements"", 'Novels'}"	{'hvd.32044081390635'}		The bachelor and the married m		1818
Davis Charles Belmont	B2197	{6809877}		{'nyp.33433074841754'}	{'American fiction'}	The borderland of society		1908
King Katherine Douglas	B4533	{6777827}	"{""Publishers' cloth bindings"", 'United States'}"	{'njp.32101068971637'}		The child who will never grow old		1898
Harris Joel Chandler	B3985	{8822905}	{'Mixed'}	{'uva.x000275026'}	{'Music', 'Folk songs, English', 'Animals', 'Southern States', 'African Americans', 'Remus, Uncle (Fictitious character)', 'Folklore'}	Uncle Remus and his friends old plantation stories songs and ballads with sketches of Negro character		1892
Wister Owen	B8582	{6787514}		{'nyp.33433074795125'}	{'American fiction'}	The Virginian  a horseman of the plains		1904
MacMahon Ella	B5538	{8844573}		{'nyp.33433076025331'}	{'American fiction'}	The touchstone of life		1897
Curtis George William	B1677	{8634570}		{'uc1.b3324208'}	{'American fiction'}	Prue and I		1856
