,"Topic_Num","Topic_Perc_Contrib","Keywords","possible genres","Text"
12,12,0.3331,"human, earth, world, future, space, planet, power, control, alien, idea","science fiction","    Another episode in Simmons's vast and hypercomplicated far- future saga (The Fall of Hyperion, 1990, etc.). Now, the repressive Pax of the Church rules human space through its possession of ``cruciforms,'' symbiotes that allow the dead to be resurrected. On planet Hyperion, woodsman Raul Endymion is snatched from death row by the thousand-year-old poet Martin Silenus and given the task of protecting the child Aenea, who will shortly emerge from the Time Tombs having time-traveled from 264 years in the past; Aenea is destined to save humanity, and Raul is her designated hero. Other matters on Silenus's list of things for Raul and Aenea to do: find planet Earth, long since mysteriously vanished; defeat the TechnoCore, a hostile and immensely powerful alliance of advanced artificial intelligence; form a friendship with the weird space- dwelling Ousters--oh, yes, and destroy the Pax and topple the Church. Unfortunately, the Pax knows about Aenea, and sends Father Captain de Soya in his state-of-the-art, superfast spaceship to capture her. So Raul, Aenea, and the ancient android Bettik flee into the planet-hopping network of ``farcaster'' portals. Eventually, an invulnerable construct, sent by the Core back from the future, will show up to assassinate Aenea--but she'll be defended by the enigmatic Shrike, previously considered hostile to all humans.       Intriguing ideas and above-average characters in a choppy narrative marred by friable plotting: gripping sometimes, though equally often glutinously overdetailed--and series regulars will note the endless scope for further installments."
0,0,0.3308,"fly, high, time, flight, plane, head, run, air, crash, pilot",,"Imagine a fair-to-good novel by Kurt Vonnegut in his more socio-economic, Mr. Rosewater-ish vein. Then imagine that it's been scrambled, weighed down with self-conscious prose, and avant-garded up (Joycean run-ons, blank verse, skewed tenses and pronouns) by someone intent on making a literary impression. That, unfortunately, is the general effect of this artful but lifeless picaresque novel--which follows the crossing 1936 paths of a very young vagabond and a somewhat older failed-poet, both of whom love a tormented beauty and both of whom wind up under the wing of a great tycoon. Doctorow's on-and-off narrator is 18-year-old Joe Korzeniowski, who shakes off his working-class Paterson, N.J., childhood, heads for California as a hobo, but soon stops off to work as a carney roustabout, befriending Fanny the Fat Lady--a """"retarded whore freak"""" who services hordes of men in swinish orgies. Meanwhile, we also hear about fat, drunken poet Warren Penfield from Ludlow, Colorado: his pattern of """"failed affections,"""" his bizarre WW I heroism (semaphore-ing Wordsworth's """"Ode""""), his Zen years in a Japanese monastery, his 1929 arrival at auto-magnate F. W. Bennett's Loon Lake estate in the Adirondacks--where Warren has lived ever since as """"resident poet"""" (though his original intention was to kill Bennett). And in 1936 wandering Joe arrives at Loon Lake too: he catches sight of a beautiful woman riding a private railway car, follows her, is attacked by wild dogs, and wakes up in the care of Loon Lake's green-uniformed staff. (In a rare comic moment, Joe puts his name below Leopold of Belgium's in the posh guest book: """"Joe of Paterson. Splendid dogs. Swell company."""") So now the poet and the hobo meet (Joe marvels at """"a life farcically set in the path of historical and natural disaster""""); both love """"blazingly beautiful,"""" up-from-poverty Clara (who is Bennett's mistress, of course); and soon Joe and Clara run off in one of Bennett's cars. But their escape west only brings them to a Bennett company town: Joe works in a Bennett factory and is union-ized by a """"cracker"""" neighbor (really a company spy) while Clara--who """"fucked in a kind of lonely self-intensification""""--is tempted back to the rich easy-life. And Joe himself, after complications when the spy is murdered (Joe loves-and-leaves the spy's child-bride widow), ends up back at Loon Lake, vows to rehabilitate vile exploiter Bennett (""""I'm going to put the fucker where he belongs I swear on my Clara I swear Mr. Penfield I swear by the memory of the Fat Lady""""). . . but merely becomes--as revealed in an epilogue--the totally corrupted heir to Loon Lake. A fable-like scenario, then, with capitalism's great hand corrupting or exploiting or destroying (poet Penfield flies off into oblivion with Bennett's aviatrix wife). And some of the telling is attractively fable-like too. But much of it reads like an academic exercise rife with self-indulgence: annotated poems (clever but very bad) by Penfield; sophomoric free-associations by Joe (""""Commingling with me she becomes me/ Coming she is coming is she/ Coming she is a comrade of mine""""); arbitrary disjunctions and time-warps, overwritten setpieces (the Fat Lady orgy), and dreadful, oh-wow-heavy pronouncements--""""You are thinking it is a dream. It is no dream. It is the account in helpless linear translation of the unending love of our simultaneous but disynchronous lives."""" Well, whatever it is and whatever its intermittent charms, it sorely lacks the very specific historical fuel that has energized Doctorow's best work (The Book of Daniel especially). And entertainment-seekers expecting another Ragtime are sure to be unhappily surprised."
77,77,0.3236,"man, question, modern, moral, human, philosophical, concern, society, answer, intellectual",,"This second volume of a major Yiddish work (Vol. I was published in 1976) continues Grade's coolly crafted re-creation of a vanished society (Lithuanian Jewish towns after World War I) whose inhabitants--yeshiva students, teachers, congregants, townsfolk--either settle for simply living life or ache for something more. Grade reins in compassion as well as irony, so that the gloomy protagonist, Tsemakh Atlas, avatar of the """"Navaredok"""" school--a religious movement for scouring the soul to ethical purity--becomes a clear, disturbing incarnation of spiritual desolation. Is Tsemakh, who examines his every thought and deed for holy intent and who will not tolerate any less from others, an incipient saint or (as one of his students put it) simply an """"adventurer. . . who runs around like a cyclone establishing new yeshivas""""? He refuses to return to his handsome, intelligent wife and takes on the role of a """"penitent,"""" literally rolling in the mud in expiation for what he considers his sin in causing the death of his first fianc�ĉۡe. While Tsemakh flagellates his soul, his students scatter in doubt, even hatred and depression: """". . . the fleshy, this-world street lives in you. But sooner or later the Torah of Navaredok will settle into your bones and your life."""" Around and beside Tsemakh the townsfolk and isolated student element jostle and cluster in flaming rhetoric, gossip, dramas of mass conscience, and even a high comedic battle with thwacking of heavy Torahs. Finally Tsemakh, on the advice of the truly spiritual rabbi Avraham-Shaye, turns to the secular life where one might be great, but """"his greatness is a secret between himself and the Master of the Universe."""" A fine, rich novel of moral reach, but not for those looking for the haimische--this is difficult and demanding. With an introduction by translator Leviant, whose recent novel, The Yemenite Girl, has met with considerable critical success."
33,33,0.3216,"time, hand, line, fire, set, find, day, back, side, night",,"Excruciating ordeal of a math prodigy pressured by her father to enter Oxford. Rumi is the daughter of Shreene and Mahesh Vasi, Indian immigrants to Cardiff, Wales. Ever since her first elementary-school teacher heralded Rumi�۪s gift for mathematics, Mahesh, a lecturer at the University of Wales, has been grooming his child for academic stardom. After a perceived snub by the local Mensa chapter, Mahesh designs a grueling study schedule for Rumi that occupies all her free time and enhances her isolation from her ���normal�۝ peers. As she crams for her college entrance exams���while a freshman in high school���Rumi, unbeknownst to her traditionalist parents, nurses some teenage crushes and accompanying heartaches. First there�۪s Bridgeman, a chess-club and stamp-collecting geek, who undergoes a growth and ���cool�۝ spurt seemingly overnight. During a trip to India, a Bollywood-handsome cousin flirts with her by night then, for fear of his own parents, ignores her by day. Rumi�۪s enforced regime causes her to develop some compensatory tics. As a child, she shoplifts sweets. As a teenager, she devours epic quantities of cumin seeds. But mostly her interior life is a seething cauldron of hormones and humiliation. Her developing puberty is viewed with alarm by her parents, who won�۪t tolerate premarital friendships with boys. Nevertheless, Mahesh thrusts Rumi into the sophisticated, diverse ambience of Oxford, if only for two days a week, under the chaperonage of an Indian landlady. Her math diligence derailed by her longing for masculine attention, Rumi sneaks out of a child-prodigy convention to attend a campus party where she encounters Fareed. Their mutual infatuation screeches to a halt when Fareed learns, through the plentiful press on Rumi, that she�۪s only 15. But when Mahesh, whose family was devastated by Muslim violence during Partition, finds Rumi�۪s love notes to a Muslim, his roles as mentor and Hindu paterfamilias collide, risking the violent sundering of his own fragile hearth. Lalwani�۪s impressive debut exhibits deep empathy for her characters�۪ cultural and emotional displacements."
21,21,0.3129,"world, project, computer, work, scientist, idea, science, research, brain, experiment","science fiction","Genetically engineered dinosaurs run amok in Crichton's new, vastly entertaining science thriller. From the introduction alone--a classically Crichton-clear discussion of the implications of biotechnological research--it's evident that the Harvard M.D. has bounced back from the science-fantasy silliness of Sphere (1987) for another taut reworking of the Frankenstein theme, as in The Andromeda Strain and The Terminal Man. Here, Dr. Frankenstein is aging billionaire John Hammond, whose monster is a manmade ecosystem based on a Costa Rican island. Designed as the world's ultimate theme park, the ecosystem boasts climate and flora of the Jurassic Age and--most spectacularly--15 varieties of dinosaurs, created by elaborate genetic engineering that Crichton explains in fascinating detail, rich with dino-lore and complete with graphics. Into the park, for a safety check before its opening, comes the novel's band of characters--who, though well drawn, double as symbolic types in this unsubtle morality play. Among them are hero Alan Grant, noble paleontologist; Hammond, venal and obsessed; amoral dino-designer Henry Wu; Hammond's two innocent grandchildren; and mathematician Ian Malcolm, who in long diatribes serves as Crichton's mouthpiece to lament the folly of science. Upon arrival, the visitors tour the park; meanwhile, an industrial spy steals some dino embryos by shutting down the island's power--and its security grid, allowing the beasts to run loose. The bulk of the remaining narrative consists of dinos--ferocious T. Rex's, voracious velociraptors, venom-spitting dilophosaurs--stalking, ripping, and eating the cast in fast, furious, and suspenseful set-pieces as the ecosystem spins apart. And can Grant prevent the dinos from escaping to the mainland to create unchecked havoc? Though intrusive, the moralizing rarely slows this tornado-paced tale, a slick package of info-thrills that's Crichton's most clever since Congo (1980)--and easily the most exciting dinosaur novel ever written. A sure-fire best-seller."
57,57,0.305,"lady, turn, late, light, heart, cold, time, friend, age, problem",,"Physical decay, embattled Christianity, man's dual nature: in this latest, death-haunted work, Endo wrestles with familiar themes. Suguro is a much-respected, 65-year-old Japanese Christian novelist--like his creator (his next novel will be entitled Scandal). He enjoys a marriage of """"poised tranquility"""" though severely limited communication, and is becoming aware of the """"vile, putrid smell"""" of old age; his liver problems are as severe as his wife's arthritis. Another sort of problem arises when he sees, on two public occasions, a mocking version of his own face. A hallucination? A doppelganger? An impostor? The mystery is compounded by rumors that Suguro has been seen visiting peep-shows. Something must be done, for a self-seeking journalist, Kobari, is on his trail, hoping to destroy his image. Suguro's investigations lead him to a female artist and self-proclaimed masochist (who later commits suicide) and to Madame Naruse, an eminently respectable widow working as a hospital volunteer. Her revelations to Suguro about her past marriage, which encapsulated the darkest impulses of the human heart, form the centerpiece of the novel. It is she, too, who arranges for Suguro to observe his """"double"""" drooling over the drugged body of an adolescent girl, a naif, Suguro's part-time employee. This vision of evil is succeeded by its opposite: the """"double"""" is enveloped in """"a profound light. . .filled with love and compassion."""" While Suguro's ability to reconcile these opposites is left in doubt, the practical problem of journalist Kobari is resolved swiftly when Suguro's publisher pays him for a compromising photograph of Suguro and then burns it. Some of this is vintage Endo (the Naruse marriage, Suguro as voyeur), but the surprisingly awkward narrative execution (the Kobari business is handled quite superficially) means that this is unlikely to rank as one of the memorable treatments of duality."
74,74,0.2972,"make, good, hard, bad, put, long, work, day, drink, kind",,"The Wig is set (no pun intended) in an America of tomorrow. Lester Jefferson, a twenty-one year old Negro lives there. Not much has changed. In Harlem, policemen tote billy sticks adorned with lilies-of-the-valley and don """"sharp brimmed fascist helmets"""" inscribed WE ARE OUR BROTHER'S KEEPER. Lester, who lives in a broken down rooming house, who has worked around for years, and who watched his father die while printing the letter Z, gets a cerebral tom tom message one morning to develop an acquisitional gimmick"""" and make it. He begins by """"conking"""" his hair with a product called Silky Smooth. And the newly bewigged young man intones, """"Yes, I wanna tell you, I can sweat until Judgment Day and no grease will run down my face."""" He confidently begins his American dream odyssey accompanied by a brown skinned, effete ex-Hollywood Sambo to whom Congressmen had once sung, """"For he's a jolly good nigger."""" In a series of picaresque, ethnic Happenings, Lester visits with Miss Sandra Hanover (nee Alvin Brown), in high drag with five o'clock shadow; with an old whore who has continuous hysterical labor pains, and with a necrophiliac undertaker--combination Godot, Devil and The Man--who finally emasculates him. Very funny and tremendously effective once or twice, but the rest is chaos."
32,32,0.2965,"young, audience, man, charm, achieve, finally, death, world, appeal, assure",,"Leonard Cohen is a young Canadian poet and his first novel is about a young Canadian poet, Breavman, and his sensuously surcharged pursuit of experience. If a comparison with Updike is made, it is a work of infinite natural talent but the gift is greater than the accomplishment. Still it contacts life with maximal intensity and a dazzling lyricism. Breavman's story begins in his childhood in Westmount in a wealthy, Jewish environment he will escape. Focusing on his early sexual experimentation, at first prurient with Lisa, then on to Tamara and a casual camaraderie which lasts three years, Breavman realizes that only through physical love can he communicate. Still it is limited and limiting. Finally, after college, writing, in New York, there is Shell--Shell who stirs (and seeks) something more in Breavman; her loss brings the bitter foretaste of loneliness: he is afraid to """"live any place but in expectation"""".... Cohen's portrait of an artist as a young man, the dilettante romantic prodded by the devil in the flesh, is a magnification of sensations, a reduction of values and a negation of commitments which ends in his inevitable alienation. But it provides an interchange of scenes and moods (with his mother, with his friend, with a prodigious, terrifying youngster at a summer camp) which are achieved through flashing perceptions and elliptical recognitions. As such, it is tremendously alive."
72,72,0.2948,"escape, prison, kill, free, member, finally, force, release, order, eventually",,"In an updated quest for the Holy Grail, the narrative pace remains stuck in slo-mo. But is the Grail, in fact, holy? Turns out that�۪s a matter of perspective. If you�۪re a member of that most secret of clandestine societies, the Priory of Sion, you think yes. But if your heart belongs to the Roman Catholic Church, the Grail is more than just unholy, it�۪s downright subversive and terrifying. At least, so the story goes in this latest of Brown�۪s exhaustively researched, underimagined treatise-thrillers (Deception Point, 2001, etc.). When Harvard professor of symbology Robert Langdon���in Paris to deliver a lecture���has his sleep interrupted at two a.m., it�۪s to discover that the police suspect he�۪s a murderer, the victim none other than Jacques Saumi̬re, esteemed curator of the Louvre. The evidence against Langdon could hardly be sketchier, but the cops feel huge pressure to make an arrest. And besides, they don�۪t particularly like Americans. Aided by the murdered man�۪s granddaughter, Langdon flees the flics to trudge the Grail-path along with pretty, persuasive Sophie, who�۪s driven by her own need to find answers. The game now afoot amounts to a scavenger hunt for the scholarly, clues supplied by the late curator, whose intent was to enlighten Sophie and bedevil her enemies. It�۪s not all that easy to identify these enemies. Are they emissaries from the Vatican, bent on foiling the Grail-seekers? From Opus Dei, the wayward, deeply conservative Catholic offshoot bent on foiling everybody? Or any one of a number of freelancers bent on a multifaceted array of private agendas? For that matter, what exactly is the Priory of Sion? What does it have to do with Leonardo? With Mary Magdalene? With (gulp) Walt Disney? By the time Sophie and Langdon reach home base, everything���well, at least more than enough���has been revealed. Bulky, balky, talky."
56,56,0.2877,"city, room, live, apartment, night, day, friend, move, house, street",,"    A secular savior takes a derelict into his crumbling brownstone with predictably gloomy results--first US publication for this early (1965) novel by the author of The Women of Whitechapel and Jack the Ripper, Lord Byron's Doctor, etc.       Edward Nicholas, a.k.a. Papa Nick, is a man with a mission: the free home he provides in the northeastern city of New Babylon for the likes of Brownie, Rachel, Johnny Sligo, Mazzini, and Edgar the Time. One day Papa Nick and dwarf wrestler Pee Wee Lazarus make a new acquisition, John Lacland, a fully grown Wild Child who can scarcely speak or tolerate light, shoes, and open spaces. Determining to humanize Lacland, Papa Nick takes him in, shelters him in a crate, locks him in a reassuring basement room, and embarks on a course of urban acculturation--climaxing in a grimly humorous evening at ringside for one of Lazarus' wrestling matches. But Lacland is no Kaspar Hauser, and Papa Nick, the sonorous ``custodian become jailer,'' succeeds only in deculturating himself in a hallucinatory folie �� trois, as Lacland talks him out of his high-minded ideals and Lazarus ends selling naughty negligees through the mail. This depressing tale is garnished with grotesque secondary figures (like Papa Nick's movie-star lover Venetia and Mimi, the blond whom Lacland meets while he's cheering on Lazarus) and presented in a prose poetry redolent of Poe, Eliot, Beckett, Grass, and Tristram Shandy, though still less florid--perhaps because of loyalty to its models--than that of West's more recent, no-holds-barred style-pieces.       Not a must read, or a fun read, but curiously prophetic of the recent calamitous effects of enforced acculturation in places like united Germany."
1,1,0.2865,"life, woman, begin, sister, young, friend, offer, character, draw, work",,"Three Iranian sisters open a restaurant in rural Ireland���in a debut that uses recipes in the heart- and stomach-warming (or -churning, depending on one�۪s taste for the genre) tradition of Like Water for Chocolate. Marjan, Bahar and Layla Aminpour escaped from Iran to arrive in England the day the Shah was deposed, seven years before the story begins. Now 27, Marjan brings 24-year-old Bahar, who has trained and worked in London as a nurse, and 15-year-old Layla to Ballinacroagh, in County Mayo, to open the Babylon Caf̩. Each chapter opens with one of Marjan�۪s recipes, then intertwines the recipe into the events that follow. The villagers are your typical Irish stereotypes: bullying pub owner, narrow-minded gossip, goodhearted priest, lonely widow, disgraced actress turned hairdresser and unwed mother. While the locals resist at first, the magic of Marjan�۪s cooking soon wins them over. But the pub owner, Thomas McGuire, has eyes on the space the Aminpours have leased for their restaurant and vows to sink them. Meanwhile, his dreamy and handsome son (or at least his wife�۪s son) falls in love with Layla. As the leisurely soap opera of village life plays out���the priest puts on a play, the lonely widow mothers the sisters, the villain�۪s plot is foiled���readers also learn the heartbreaking story of the Aminpours�۪ flight from Iran. Raising her sisters after their parents�۪ deaths, Marjan was drawn into revolutionary activities by her childhood sweetheart and briefly imprisoned, while Bahar fell under the thumb of a fundamentalist neighbor and married the woman�۪s sadistic son. After a particularly vicious encounter with Bahar�۪s husband, the sisters fled. Now they�۪ve come to Ballinacroagh to hide from Bahar�۪s husband, who had tracked them to London. That stark story sits uneasily alongside the predictable comedy-drama of Ballinacroagh. The mix of cutesy and harsh can be awkward, but first-timer Mehran�۪s lighthearted voice will win readers over."
64,64,0.2817,"agent, secret, spy, plan, action, plot, british, terrorist, thriller, intelligence","spy fiction","DIA, CIA, ISA, ISI, SIS, KGB, GRU, PCP, NTS, APNDPM: even by thriller standards, this convoluted espionage/counter-terrorism tale is thick with acronyms, dense with trade-craft--yet also fairly absorbing in its reworking of a bitter, cynical, essentially familiar scenario. Cordell Hunt, ex-CIA man and """"second-generation spook,"""" is working as a mercenary anti-Soviet agent in Afghanistan--an employee of Triage, the """"paramilitary subsidiary"""" of Innotech, a """"multinational security consultancy""""--when he's captured by the KGB. Six months later, after total interrogation, Hunt is free, hiding out in Marrakech with Anastacia Martinova, the Afghan/White Russian freedom-fighter he has come to love. But it just so happens that Hunt, even though he might now be a KGB double, is the perfect agent to investigate Innotech's big new problem: bomb-attacks on its computer-controls around the world. So John Shy, an Innotech biggie and Hunt's old chum, arranges for Hunt to be smuggled from Morocco to Zurich; Anastacia is spirited away, becoming a virtual hostage (the KGB wants her badly); Hunt reluctantly takes on the new Innotech assignment--determined to save Anastacia, even if he has to """"put down half of NATO."""" And Hunt is soon in N.Y., playing sexy cat-and-mouse games with terrorist queen Dania Morales, of the People's Crusaders for Peace, the mercenary group responsible for the attacks on Innotech. But who is paying the PCP to stage these attacks? Is it the KGB? Or someone at Innotech itself? Is there a Soviet mole within the supposedly unaligned Innotech ranks? And how did Innotech's encoding/decoding library (""""the whole thing from index to cryptographic matrix generators"""") wind up in the hands of the PCP? So go the questions--as Hunt tries to get hold of that coding library (a bargaining chip for Anastacia) while avoiding assorted assassins. . . and kindling several old flames. Talky, overlong, with neither of the two heroes (Hunt, Shy) fully developed--but first-novelist Prescott supplies enough sardonic texture and nasty details to make this gritty, slightly offbeat reading for fans of cool, down-and-dirty Intelligence tangles."
53,53,0.2816,"film, movie, show, make, play, tv, real, actor, stage, career",,"Here�۪s an unexpected publication: a new edition, complete with scholarly introduction, of the 1956 succ�_s de scandale that was in its time the single bestselling American novel, inspiring both a nighttime ���television novel�۝ (i.e., soap opera) and an only slightly less soapy (1958) feature film. Metalious (1924���64) was a competent writer with some flair whose punchy workmanlike prose efficiently captured her little inland New England hamlet�۪s earthy (if somewhat unbelievably sexually functional) populace. The characters���among others, Allison MacKenzie, round-heeled Betty Anderson, m.c.p. Rodney Harrington, and longsuffering Selena Cross���retain a perversely appealing, pulpy vitality. But scholar Ardis Cameron�۪s assertion that this likeably trashy novel offers ���a valuable corrective to the myth of quiescent domesticity and class consensus,�۝ besides gilding the lily indefensibly, confuses its author with Sinclair Lewis, not to mention Gustave Flaubert. Peyton Place is, on its own terms, both a perfectly decent popular novel and an honest one. But it never was an important one, and no amount of retroactive puffery can make it so. "
61,61,0.2807,"book, kind, deal, scene, close, write, place, writer, man, term",,"The literature of lesbianism has certainly been minimal in contrast with the number of novels dealing with male homosexuality in the last few years, and what has appeared has usually dealt with the situation in primarily interpersonal terms. This novel, which opens and closes at a London club for the gay girls, is an expository, explicit, communal, interior view; while it occasionally refers to the state as a """"common darkness and loneliness,"""" it never indulges in regret; and through Matt, a butch boy, who usurps control of the book, it adaptively attempts to find """"a system, a scheme that'll fit it all in."""" The novel is handled in alternating episodes in the first person of Steve, who teaches school; Sadie and his/her Jonnie-- they've been together four years; Cathy who runs away to London to find someone who is like her, takes a job as a bus conductor (these girls prefer uniforms-- gas station attendants- army- etc.); Marie who tells her story in the freeform of total disassociation-- """"sick o i am sic... wordslip wordshift""""; and a number of others who are """"butch or femme or just a little in-between."""" Miss Duffy's book, which is written with a good deal of technical competence, is unequivocal; as Matt says, """"We're part of society, part of the world whether we or society like it or not."
36,36,0.2806,"political, figure, journalist, public, newspaper, deal, american, make, reporter, issue",,"With more plot than you could shake a muckrake at, this is a story of private empire vs. public good. Senator Ben Hannaford, a genial but LBJ-ish plutocrat, is censured by his peers after his plots to rape the national forests, take over a Mideastern oil satrapy, etc. etc. are foiled with the help of Parenti, a Pearson-type columnist. The scene; Washington in the '70's, a splenditerously nasty world of payoffs, loopholes, lobbyists and tape recorders. Bad guys include Dirksen, Rivers, Clifford; good guys permutate Mansfield, Aiken, Douglas; the Dodd and Powell themes are clearly transposed. Indeed, Pearson's The Case Against Congress (p. 634) provides a clef to everyone but the Marian Javits character. And many of the harangues come straight out of it, from the Senate's free travel to the depletion allowance issue. They sounded better there: the fictional medium corrodes the message, which is narrated by Hannaford's aide, a barefoot boy with tongue in check. The style ranges from the deliberately funny to the inadvertently puerile; there is also a dollop of sex, like cherry flavoring in antibiotics. The result will be palatable chiefly for readers who like political novels and Pearson. An attention-getter, at any rate."
62,62,0.2753,"author, event, make, tale, character, follow, set, write, great, lead",,"The first novel to be published in America by Henry Green who has already established a devotedly enthusiastic following among critics, connoisseurs. Green, whose art has been rightly compared with the pure naturalism of the early 18th century (Fielding, etc.), and who combines with that an occasional poetry, here has produced a comedy of life below stairs in Ireland, during the war. With a deadly fidelity to type and tongue, this reproduces the hierarchical household of Mrs. Tennant; Charley Raunce, promoted to butler after the passing of Mr. Eldon; Edith, the housemaid he loves, and Kate, whom he passes off on the pantry boy; Mrs. Welch, the cook, and Miss Swift, the nanny. From their unctuousness toward the Madam to the petty thievery on the household accounts they practice under her nose, from the scandal over the discovery of Mrs. Jack in bed with a lover to the common uneasiness over the disappearance of a sapphire ring, these things occupy this drama of little lives which also reflect more widespread patterns of privilege and prestige, custom and caste... Perhaps not for a wide public, but for those who have liked the also recently imported I. Compton-Burnett who bears a very close comparison in method and mood."
71,71,0.2744,"writer, literary, work, fiction, write, publish, editor, early, novelist, style",,"Twenty of the stories here were subsequently re-hammered into such Faulkner novels as The Hamlet, Go Down, Moses, and The Mansion; where and just how they were changed will be of obvious interest to scholars and students of Faulkner's work (and their numbers are legion). Others of the pieces here collected either never saw print or were juvenilia (dripping, sopping, with verbiage and little else)--New Orleans life-studies, attempts (unsuccessful) at literary comedy, and a few flyboy stories that go on too long. Unlike Fitzgerald's recently published leavings (The Price Was High, 1978, p. 1263), Faulkner's are too varied in tone to be really bad, yet too heatless to be good. Excepting those reworked into longer fiction, they seem mostly elegant and tooled grabs at the market--legitimate but not very interesting. Professor Blotner (Faulkner, 1974), as is his meticulous wont, has provided notes about each story that seem to leave out only the bond-weight of the manuscript pages. Academic interest exclusively."
47,47,0.2726,"drug, bad, run, beat, steal, car, turn, good, tough, big",,"Vietnam combat in the first person, the person of Philip (""""Flip"""") Dosier, shorttimer, driver of armored personnel carriers, hater of """"housecats,"""" lifers, dinks, gooks, and the Red Cross (""""What a bunch of walking wounded""""). Raised on John Wayne (""""even before he became a verb""""), Dosier begins his mid-Sixties stint without much dread (""""at least it isn't the straight-leg infantry""""), but, after monotonous jungie-busting, abortive ambushes, moonlit battles (the Tet offensive), cuts that won't heal, dirt and aches that won't go away, and a diet of Darvon, """"Cambodie smokes,"""" warm beer, and """"Chieu Hoi pussy almost every afternoon,"""" he reaches the point where he """"couldn't feel anything in my fingers. . . couldn't taste food."""" Once a few buddies have been turned into carcasses, and a Marine brother's been blinded, Dosier is primed for any miniature My Lais that come along: """"I wanted that smooth, smug, slant-eyed fucking face ground into meat, transformed into spray."""" He's also primed for the Tokyo R&R; (great sex with """"Susie"""" in the Perfeet Room Hotel) that breaks up the time but makes going back to that """"raunchy, shit-foul, tenant-dirt-farm stink"""" even harder. Dosier never becomes the sharp-focused, central character that might give this first novel real shape: his prewar life's a blank, his postwar restlessness moves into familiar generalities (leftover violence, quick marriage), and his voice lapses from tough-dirty-dufus into the New Yorkerdshness of """"and such"""" or """"and so forth."""" But that voice records other, surer voices with an unerring ear for rhythmic obscenity and anger, and records the horrors and absurdities of rice-paddy war--the flies, the frags, the body hags--with unflinching detail and unforgiving energy."
13,13,0.2718,"indian, native, land, people, american, mountain, man, country, culture, tribe","historical fiction","Third, after Old Jules and Crazy Horse, in Miss Sandoz' projected six-book study of the trans-Missouri country from the Stone Age to the present, this is the story of the Cheyenne Indians' last desperate fight with the white men for a reservation in their native north country. Essentially a peaceful if nomadic, buffalo-hunting people, the Cheyenne were drawn along with all other Indian tribes into the maw of Manifest Destiny--and made to suffer brutally just for existing athwart the white man's new trails to the West. In the late 1870's less than 1,000 survived and these were taken forcibly to played-out reservations in the Indian Territory (Oklahoma) far to the south of their native grounds. There they found neither their natural hunting nor any food at all, but much sickness. And soon they decided their only chance for survival lay in escape back to the Yellowstone country. This is the story of that last desperate forced march and the one autumn they enjoyed in familiar woods before the army overtook them, decimated their number down to a pitiful 114 and once again took all but a fortunate few, who hid in the woods, back to the old Indian Territory reservations. But by then a few white voices were raised in protest and finally the Cheyenne were allowed to have a Yellowstone reservation. A story well-written in the idiom of the Cheyenne Indian."
25,25,0.2675,"narrator, story, narrative, voice, describe, fiction, work, begin, move, prose",,"Three brilliantly written short novels by a young Anglo-Indian author who has been praised throughout Great Britain as one of his generation�۪s finest prose stylists. And the reader immediately sees why in the opening pages of ���A Strange and Sublime Address�۝ (1991), which recounts in delightfully funny detail the perceptions of Sandeep, a ten-year-old boy from Calcutta whose family pays an extended visit to his uncle�۪s bustling and eccentric Bombay home, then returns a year and a half later to chart the progress of Uncle Chhotomama, a loony mixture of communist ideologue and failed businessman whom Salman Rushdie might have invented. The story is plotless; Chaudhuri simply presents a parade of gorgeous vignettes and tableaus filled with wondrously observed small moments (when a toddler takes one hesitant step, ���its other leg forgot it was a leg, and the child, bewildered by its own body, collapsed in a soft heap�۝). ���Afternoon Raag�۝ (1993) depicts with comparable facility the confused sensibility of a music student (perhaps the grown-up Sandeep, though not specifically identified as him) at Oxford, poised uncertainly between the comforting world of his parents back in Bombay and the contrasting promises of two girl students he tells himself he loves. The piece is slight but beautifully done. The more ambitious ���Freedom Song�۝ (1995) examines the relations among two families living together temporarily in present-day Calcutta: Shib, who works in a British-owned chocolate factory, and his wife Xhuku; and then also Xhuku�۪s weirdly extended ���family of ne�۪er-do-wells�۝ whose communal raison d�۪��tre seems to be the need to arrange a proper marriage for Xhuku�۪s scandalous nephew Bhaskar, a devout communist who performs political street theater. The two families�۝ ineffably comic, intrinsically melancholy interactions are rendered with quiet compassion in a tour de force that suggests an Indian Buddenbrooks in miniature. Some of the most accomplished fiction of the decade. "
