author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Kipling Rudyard	B4515	{6731552, 3162037}	{'Fantasy fiction', 'Bibliographies', 'Juvenile audience'}	{'mdp.39015065540133'}	"{'Mowgli (Fictitious character)', 'Animals', 'Jungles', 'Boys', 'Jungle animals', 'Juvenile fiction', ""Children's stories, English"", 'Folklore', 'Feral children', 'Inlaid binding', 'Short stories', 'Adventure stories, English'}"	The jungle book		1894
Lucas E V Edward Verrall	B4910	{3188993}	"{'Juvenile audience', ""Publishers' advertisements"", 'Juvenile literature'}"	{'uc1.b3331940'}	"{""Children's stories, English""}"	Forgotten tales of long ago		1906
Schwacofer Mary A	B7418	{6851661}	{'Juvenile literature', 'Juvenile audience', 'Imaginary voyages'}	{'mdp.39015078556399'}	{'Castaways', 'Juvenile fiction', 'Shipwreck survival', 'Shipwrecks', 'Crusoe, Robinson (Fictitious character)'}	The life and adventures of Robinson Crusoe of York mariner  adapted from the original in words of one syllable		1908
London Jack	B4772	{6810552, 9097777, 3278203, 9012838, 3203231}	{'Juvenile audience', 'Bibliographies'}	{'njp.32101067626562', 'wu.89006659528'}	{'Carmalt, Geraldine Woolsey', 'Gold discoveries', 'Animal welfare', 'Pet theft', 'Provenance', 'Yukon', 'American literature', 'Dogs', 'Sled dogs', 'Wolves', 'Feral dogs', 'Klondike River Valley', 'Bookplate'}	The call of the wild		1903
Stahl PJ	B7550	{8667164}	{'Juvenile audience'}	{'nyp.33433082348891'}	"{""Children's stories, French""}"	A butterfly chase		1869
Potter Beatrix	B6488	{3214364}	{'Juvenile audience'}	{'mdp.39015089581832'}	{'Juvenile fiction', 'Mice', 'City and town life', 'Country life'}	The tale of Johnny Townmouse		1918
Wyss Johann David	B8928	{6829032}	"{'Juvenile audience', ""Publishers' advertisements"", 'NotBiographical', 'Novel', 'Imaginary voyages', 'Juvenile literature', 'Presentation inscriptions (Provenance)'}"	{'mdp.39015078574335', 'mdp.39015078574327'}		The Swiss family Robinson or A		1818
Mme Girardin Emile de	B5531	{5005227}	{'Juvenile audience'}	{'nyp.33433075826275'}	"{""Children's literature, French""}"	Stories of an old maid related to her nephews and nieces		1855
Hawthorne Nathaniel	B4099	{6798784}	{'Juvenile audience'}	{'inu.39000000067442'}		A wonder book for boys and gir		1864
Whitney A D T Adeline Dutton Train	B8522	{9442342}	{'Juvenile audience', 'Novel'}	{'mdp.39015061865856'}		A summer in Leslie Goldthwaite		1866
Karrik Valerïan Vili͡amovich	B4501	{3197432, 3206596}	{'Juvenile audience'}	{'mdp.39015031985891'}		More Russian picture tales		1914
Burgess Thornton W Thornton Waldo	B1118	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202777'}		The adventures of Peter Cotton		1914
Meigs Cornelia	B5377	{3208874}	{'Juvenile audience'}	{'nnc1.cu13187368'}	"{""Children's literature, American""}"	The kingdom of the winding roa		1916
Barbauld Anna Letitia Mrs	B525	{5157956}	{'Anthologies', 'Juvenile audience'}	{'njp.32101068138005'}	{'Women', 'Moral education', 'Miscellanea', 'Education', 'Juvenile literature'}	A legacy for young ladies  consisting of miscellaneous pieces in prose and verse		1825
Craik Dinah Maria Mulock Mrs	B1456	{2743286}	{'Juvenile audience'}	{'njp.32101067709913'}	{'Fairies', 'Juvenile literature'}	The adventures of a brownie as told to my child		1873
Seton Ernest Thompson	B7986	{3172093}	{'Juvenile audience'}	{'mdp.39015043496457'}		Rolf in the woods the adventur		1911
Linden Auguste	B4878	{8710785}	{'Juvenile audience'}	{'nyp.33433082546478'}	"{""Children's stories, German""}"	Childrens trials or The little ropedancers and other tales		1855
Hawthorne Nathaniel	B3990	{6798784}	{'Juvenile audience', 'Bibliographies', 'Juvenile works'}	{'mdp.39015019185464', 'uva.x030444610'}	{'Mythology, Classical', 'Juvenile literature'}	A Wonder book for girls and boys		1851
Bailey Carolyn Sherwin	B966	{3199974}		{'uc2.ark+=13960=t7fq9rn4z'}	{'Mythology, Classical', 'Juvenile literature'}	Wonder stories		1920
Bunyan John	B526	{3203026, 4988323, 6800349, 6830710, 4854447}	{'Bibliographies'}	{'njp.32101068596012'}	{'Juvenile fiction', 'Christian pilgrims and pilgrimages'}	The pilgrims progress		1688
Dickens Charles	B2124	{3295184, 3206547, 3189524, 4444870, 3202927}	{'Ghost stories', 'Bibliographies'}	{'uc2.ark+=13960=t7zk57x7j', 'mdp.39015091651375', 'mdp.39015035841835'}	{'Misers', 'Scrooge, Ebenezer (Fictitious character)', '19th century', 'Juvenile fiction', 'Christmas stories', 'Social life and customs', 'Christmas stories, English'}	A Christmas carol		1870
Taylor Jefferys	B8326	{5793918}	{'Juvenile audience'}	{'hvd.hn2gwa'}		Harrys holiday or The doings o		1822
Aikin Lucy	B36	{4842841}	{'Juvenile literature', 'Juvenile audience', 'Novel', 'Imaginary voyages'}	{'mdp.39015078576652'}	{'Castaways', 'Juvenile fiction', 'Shipwreck survival', 'Shipwrecks'}	The Swiss family Robinson in words of one syllable		1864
Carpenter Kate E Rushmore	B1476	{3186313}	{'Biography', 'Juvenile audience'}	{'nyp.33433071386639'}	{'Joan', '1412-1431', 'of Arc, Saint'}	The story of Joan of Arc for boys and girls as Aunt Kate told it		1902
Phillips Henry Wallace	B6504	{3165795}	{'Juvenile works'}	{'nnc1.1002210070'}	{'Animals', 'Juvenile fiction'}	Red Saunders pets and other cr		1906
Hall S C Mrs	B3759	{9435847}	{'Juvenile audience', 'Fairy tales'}	{'nyp.33433088074723'}	{'Fairy tales'}	The prince of the Fair family  a fairy tale		1867
Kendall Edward Augustus	B4668	{4566087}	{'Juvenile audience'}	{'hvd.hn2he3'}		The stories of Senex or Little		1800
Browne Belmore	B1155	{3315379, 3197735}	{'Juvenile audience'}	{'nyp.33433074815162'}		The quest of the Golden Valley		1916
Hudson W H William Henry	B3716	{8993866}	{'Juvenile audience'}	{'nyp.33433074872155'}	{'Short stories'}	Tales of the Pampas		1916
Jacobs Joseph	B4216	{6455904, 3143372, 8914095, 3161555, 8787991, 8953016, 6212927}	{'Juvenile audience', 'Bibliographies'}	{'wu.89094334638', 'mdp.39015005158608'}	{'Great Britain', 'Fairy tales', 'England', 'Folklore'}	More English fairy tales		1894
Carroll Lewis	B1867	{3205344, 3176067}	{'Juvenile audience'}	{'uva.x004152854'}		Alices adventures in Wonderland		1896
Reid Mayne	B7218	{4989024}	{'Juvenile audience'}	{'mdp.39015078570341'}		The desert home or The adventu		1851
Yonge Charlotte M Charlotte Mary	B9047	{6219382, 8624695}	{'Juvenile audience'}	{'njp.32101076782448', 'njp.32101076782455'}		The daisy chain  or Aspiration		1856
Livermore Mary Ashton Rice	B5169	{9166363}	{'Juvenile audience'}	{'uc1.32106010330345'}		The two families and The duty 		1848
Aikin Lucy	B270	{4842841}	{'Juvenile literature', 'Juvenile audience', 'Novel', 'Imaginary voyages'}	{'mdp.39015078576652'}		The Swiss family Robinson in w		1864
Potter F Scarlett Frederick Scarlett	B6570	{8717601}	{'Juvenile audience'}	{'nyp.33433075873343'}	{'English fiction'}	Melcomb Manor  a family chronicle arranged from the papers of Richard Brent Esq sometime of Melcomb		1875
Karrik Valerïan Vili͡amovich	B4502	{3197432, 3206596}	{'Juvenile audience'}	{'mdp.39015031985925'}		Still more Russian picture tal		1915
Dickens Charles	B2470	{3295184, 3206547, 3189524, 4444870, 3202927}	{'Ghost stories', 'Juvenile audience', 'Christmas stories'}	{'nyp.33433074954482'}		A Christmas carol in prose The		1846
Marshall Emma Mrs	B5862	{9468769}	{'Juvenile audience'}	{'uva.x004282870'}		Lessons of love  or Aunt Berthas visit to the Elms		1868
Burgess Thornton W Thornton Waldo	B1117	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202801'}		The adventures of old Mr Toad		1916
Blackford Martha Mrs	B1233	{5159747}	{'Juvenile audience'}	{'nyp.33433074939905'}		The Scottish orphans a moral t		1824
