author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Aytoun William Edmondstoune	B153	{4356707}		{'uc2.ark+=13960=t5n877988', 'uc2.ark+=13960=t3125zp8x'}	{'Social life and customs', 'Scotland', 'Criminals', 'Jews', '19th century'}	Norman Sinclair		1861
Scott Walter Sir	B7413	{8660158}	{'Bibliographies'}	{'nyp.33433075743645', 'mdp.39015065596887'}	{'Scotland', 'Country life'}	St Ronans well		1824
Hardy Thomas	B3600	{6713689, 8584519}	{'Pastoral fiction', 'Bibliographies', 'Love stories'}	{'uiuo.ark+=13960=t73v08j17', 'uc1.32106006332305', 'uiuo.ark+=13960=t44q8kt63', 'mdp.39076005003285'}	{'X823H22F', 'Pastoral fiction', 'Women farmers', 'Triangles (Interpersonal relations)', 'England', '19th century', 'Love stories', 'Social life and customs'}	Far from the madding crowd		1874
Kenyon C Fred Charles Frederick	B4563	{2441292}	{'Mystery and detective fiction', 'Great Britain'}	{'nyp.33433074876586'}		Tales of a cruel country		1919
Barker	B934	{6817053}		{'uc2.ark+=13960=t5m90h655'}	{'KwaZulu-Natal (South Africa)', 'Rodrigues (Mauritius)', 'Mauritius', 'New Zealand', 'Colonies', 'Trinidad', 'Australia', 'Social life and customs', 'Great Britain'}	Colonial memories		1904
Morrison Arthur	B5653	{8831810, 6655091, 3180846}	{'Bibliographies'}	{'uc1.b4105458'}	{'Slums', 'London', 'England', '19th century', 'Boys', 'Social life and customs'}	A child of the Jago		1896
Hunt Bampton	B3894	{6758940, 2435533}		{'uc2.ark+=13960=t3kw5dm2r'}	{'Ireland', 'Folklore'}	Folk tales of Breffny		1912
Dickens Charles	B2103	{5214688, 6120577, 4696359, 6108776, 8928862, 2441898, 8601515, 8608717, 5810062, 6183951, 5844400, 8606037, 8733365, 5809980, 5814078, 6144191}	{'Dictionary', 'Bibliographies', 'ContainsBiogMaterial', 'Indexes'}	{'uc2.ark+=13960=t5j962x5v', 'mdp.39015005324606', 'uva.x030570270'}	{'Societies and clubs', 'Facsimiles', 'Dickens, Charles', 'England', '19th century', '1812-1870', 'English fiction', 'Social life and customs', 'Men', 'Manuscripts'}	The posthumous papers of The Pickwick Club		1837
Makino Yoshio	B5812	{6869348}		{'uc2.ark+=13960=t9q242h30'}	{'Women', 'Great Britain', 'Social and moral questions'}	My idealed John Bullesses		1912
Trollope Anthony	B8197	{4918137, 8464930}	{'Bibliographies'}	{'uc2.ark+=13960=t4gm8fv9d'}	{'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'Church of England', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	Framley parsonage		1880
Bowen Marjorie	B625	{6839361, 8943361}		{'nyp.33433074929252'}	{'James', 'King of England', 'Revolution of 1688', 'II', '1633-1701', 'Great Britain', 'History'}	God and the king		1911
Brontë Anne	B630	{4618505, 4991985, 4337431}	{'Bibliographies', 'ContainsBiogMaterial', 'Domestic fiction'}	{'nyp.33433074930037', 'uc2.ark+=13960=t24b2zg71'}	{'Married women', 'England', '19th century', 'Social life and customs', 'Alcoholics', 'English fiction', 'Landlord and tenant', 'Alcoholism'}	The tenant of Wildfell Hall		1848
Lawrence D H David Herbert	B4701	{2443292}	{'Psychological fiction', 'Bibliographies', 'Novel', 'Love stories'}	{'inu.30000007661410'}	{'Interpersonal relations', 'Women', 'Sexual behavior', 'Coal miners', 'England', 'Male friendship', 'Sisters', 'Coal mines and mining', 'Midlands', 'Social conditions', 'Social classes'}	Women in love		1921
Munro Neil	B5357	{8917238, 6856063}	{'Novel'}	{'njp.32101065845842'}	{'20th century', 'Social life and customs', 'Americans', 'Scotland'}	The daft days		1923
Christie Agatha	B1618	{2444927}	{'Mystery fiction'}	{'nyp.33433074970710'}	{'Belgians', 'Private investigators', 'England', 'Poirot, Hercule (Fictitious character)'}	The mysterious affair at Stiles  a detective story		1920
Gregory Lady	B2981	{6865273}	{'Juvenile audience'}	{'inu.32000007045786'}	{'Ireland', 'Folklore'}	The Kiltartan wonder book		1911
Collins Wilkie	B1370	{8628704, 5056916}	{'Gothic novels', 'Bibliographies'}	{'mdp.39015023909487'}	{'Inheritance and succession', 'England', 'Mothers and daughters', 'Cornwall (County)', 'X823C69D', 'Illegitimate children'}	The dead secret		1857
Wood Ellen	B8459	{8665899}		{'dul1.ark+=13960=t3ws9fc67', 'dul1.ark+=13960=t2w38hk3r'}	{'Great Britain', 'Strikes and lockouts'}	A lifes secret		1867
Whitehead Charles	B8872	{6111012}		{'wu.89094687290'}	{'Great Britain', 'Criminals', 'Brigands and robbers'}	Lives and exploits of English highwaymen pirates and robbers  drawn from the earliest and most authentic sources and brought down to the present time		1835
Orczy Emmuska Orczy Baroness	B6299	{3176017, 8916058}	{'Juvenile audience'}	{'nyp.33433075744890'}	{'Revolution, 1789-1799', 'France', 'Nobility', 'Blakeney, Percy, Sir (Fictitious character)', 'Refugees', 'English fiction', 'History', 'British'}	The Scarlet Pimpernel		1905
Kingsley Henry	B4586	{8441650, 8632494, 6246198}	{'Bibliographies'}	{'uc2.ark+=13960=t2q52mj1f', 'uc2.ark+=13960=t3nv9gf05', 'uc2.ark+=13960=t6vx0cc6w', 'pst.000049906899'}	{'Australian fiction', '1788-1900', 'Shorter, Clement King', '1857-1926', 'Australia', 'Frontier and pioneer life', 'History', 'British'}	The recollections of Geoffry Hamlyn		1859
Jacobs W W William Wymark	B4266	{6823251, 6789166}	{'Mystery and detective fiction', 'Great Britain'}	{'nyp.33433043006927'}	{'Short stories, English'}	The lady of the barge		1902
Banim John	B652	{8618437, 5118007}	{'Bibliographies'}	{'nyp.33433074932389', 'uc2.ark+=13960=t8sb40478', 'uc1.b3322285'}	{'Ireland', 'Social life and customs', 'British', 'History', '19th century'}	The AngloIrish of the nineteenth century		1828
Moore George	B5507	{3163797}		{'nyp.33433074910070'}	{'Mothers and sons', 'Unmarried mothers', 'England', 'Women household employees'}	Esther Waters		1811
James Henry	B4391	{8906800, 6810007}	"{'Autographs (Provenance)', 'Bookplates (Provenance)', ""Publishers' cloth bindings (Binding)"", 'England'}"	{'uva.x000319019', 'uva.x000926858'}		The golden bowl		1904
Alcock Deborah	B173	{8664591}		{'uc2.ark+=13960=t6639nz5k'}	{'Scotland', 'Reformation'}	The dark year of Dundee		1867
Dickens Charles	B2097	{3203888}	{'Autobiographical fiction', 'Bildungsromane', 'ContainsBiogMaterial'}	{'njp.32101058459064', 'inu.32000002986299'}	{'Orphans', 'London', 'Young men', 'Dickens, Charles', 'England', 'Boys', 'Child labor', '19th century', '1812-1870', 'Stepfathers', 'Social life and customs'}	David Copperfield		1855
Jackson Wilfrid S Wilfrid Scarborough	B4298	{8883923, 3182316}	{'England'}	{'nyp.33433074867494'}	{'(OCoLC)fst00995558', 'Legal stories'}	Nine points of the law		1903
Cook Emily Constance Baird	B1716	{6821907}		{'uc2.ark+=13960=t2891457k'}	{'Women', 'Great Britain'}	From a womans notebook		1903
Oliphant	B6355	{8502519}		{'uiuo.ark+=13960=t10p1mx4t', 'uiuo.ark+=13960=t08w4053f', 'uiuo.ark+=13960=t4vh63v11'}	{'Scotland'}	The laird of Norlaw		1858
miscellaneous writer Jones George	B9113	{9085731}		{'wu.89101410181'}	{'Great Britain', 'Anecdotes'}	Anecdotal reminiscences of distinguished literary and political characters		1830
Beck Edward	B750	{5166457, 8997521}		{'uc1.$b271263'}	{'Gardening', 'Great Britain'}	A packet of seeds saved by an old gardner		1861
Bayley F W N	B1034	{6115578}		{'uiuo.ark+=13960=t4nk3mt8v', 'uiuo.ark+=13960=t3kw5p40t'}	{'Prisons', 'Great Britain', 'Debt, Imprisonment for', 'London', 'England'}	Scenes and stories		1835
Sinclair May	B7513	{2444788}		{'nyp.33433075765333'}	{'Repression (Psychology)', 'Women', 'Single women', 'England'}	Life and death of Harriett Frean		1922
Author of Old maids	B96	{4439001, 8202277, 6142270}		{'nyp.33433075771968'}	{'Great Britain', 'Social classes'}	Plebeians and patricians		1836
Mure A H	B5731	{3185443}		{'uc2.ark+=13960=t4bp01n2s'}	{'Regimental histories', 'Army', '29th Division', 'World War, 1914-1918', '5th Battalion', 'Royal Scots', 'Great Britain'}	With the incomparable 29th		1919
Scott Walter Sir	B7456	{4697979}		{'nyp.33433075742951', 'nyp.33433075742944'}	{'Social life and customs', 'Scotland'}	Chronicles of the Canongate		1827
Geen Philip	B3293	{3173158}		{'uc2.ark+=13960=t8x923s6p'}	{'Fishing', 'Great Britain'}	Days stolen for sport		1907
MacManus Seumas	B5752	{3268766}		{'uc2.ark+=13960=t5bc46q2f'}	{'Ireland', 'Folklore'}	In chimney corners		1908
Charles Elizabeth Rundle	B1649	{9435815}		{'uc1.$b248953'}	{'Civil War, 1642-1649', 'Great Britain', 'History'}	The Draytons and the Davenants		1866
