author	latestcomp	shorttitle
Field, Edward Salisbury	1910.0	The sapphire bracelet
Forrester, Izola L	1910.0	The Polly Page yacht club
Foster, R. F. (Robert Frederick)	1910.0	Cab no. 44
Fox-Davies, Arthur Charles	1910.0	The duplicate death
Goodrich, Arthur Frederick	1910.0	The yardstick man
Goodridge Roberts, Theodore	1910.0	A cavalier of Virginia
Grundy, Mabel Sarah Barnes	1910.0	Gwenda
Hall, Eliza Calvert	1910.0	Sally Ann's experience
Frankau, Julia	1910.0	Let the roof fall in
Froissart, Jean	1910.0	Honour & arms
Gallizier, Nathan	1910.0	Castel del Monte
Gregory	1910.0	Shanwalla
Grier, Sydney C	1910.0	The power of the keys
Hamilton, James Shelley	1910.0	The new sophomore
Harker, L. Allen (Lizzie Allen), Mrs	1910.0	Master and maid
Harrison, Edith Ogden	1910.0	Princess Sayrane;
Hay, Ian	1910.0	The right stuff
Hayes, Hiram Wallace	1910.0	A royal good fellow
Hazard, R. H	1910.0	The house on stilts;
Haviland, Maud D. (Maud Doria)	1910.0	Lives of the fur folk
Hay, Ian	1910.0	A man's man
Henry, O	1910.0	Strictly business
Henty, G. A. (George Alfred)	1902.0	One of the 28th
Holt-White, W	1910.0	The crime club
Hoover, Bessie Ray	1910.0	Opal
Howard, Clifford	1910.0	The Passover
Hyatt, Stanley Portal	1910.0	People of position
Ingram, Eleanor M. (Eleanor Marie)	1910.0	The flying Mercury
Ironside, John	1910.0	The red symbol
Irvine, Alexander	1910.0	From the bottom up
Irwin, Will	1910.0	The house of mystery
Isham, Frederic Stewart	1910.0	The Social bucaneer
Johnston, Annie F. (Annie Fellows)	1910.0	Mary Ware in Texas
Johnston, Charles Haven Ladd	1910.0	Famous scouts, including trappers, pioneers, and soldiers of the frontier;
Jones, Doris Egerton	1910.0	Peter Piper
Kauffman, Reginald Wright	1910.0	My heart and Stephanie
Kelly, James Paul	1910.0	Prince Izon; a romance of the Grand Canyon
Kieffer, Henry Martyn	1910.0	The funny bone
Kingsley, Florence (Morse), Mrs	1910.0	Those Brewster children
Knight, William Allen	1910.0	No room in the inn
Knipe, Emilie (Benson), Mrs	1910.0	Little Miss Fales
Landis, Frederick	1910.0	The glory of his country
Lang, Andrew	1910.0	The lilac fairy book
Jones-Bacon, Eugenie	1910.0	The red moon
Kauffman, Reginald Wright	1910.0	The house of bondage
Kaufman, Herbert	1910.0	The winning fight
Keays, Hersilia A. Mitchell Copp	1910.0	I and my true love
Kennedy, John Joseph	1910.0	The Inseparables
Kernahan, Coulson	1910.0	The thirteenth man
Knapp, George L. (George Leonard)	1910.0	The scales of justice
Knowles, Robert Edward	1910.0	The handicap ; a novel of pioneer days
Lowndes, Marie Belloc	1910.0	Studies in wives
MacGrath, Harold	1910.0	A splendid hazard
Marshall, Davis Edward	1910.0	In old Kentucky;
McCarthy, Justin H , (Justin Huntly)	1910.0	The O'Flynn; a novel
McNeil, Everett	1910.0	Fighting with Fremont;
Machray, Robert	1910.0	The mystery of Lincoln's Inn
Mack, Louise	1910.0	Theodora's husband
Marriott, Charles	1910.0	"""Now""!"
Martyr, Graham	1910.0	An imperial conspiracy
McCarter, Margaret Hill	1910.0	The price of the prairie;
McCutcheon, George Barr	1910.0	The butterfly man
McElroy, John	1910.0	Si Klegg
Meade, L. T	1910.0	How it all came round
Miller, Henry Russell	1910.0	The man higher up
Nicholson, Meredith	1910.0	The siege of the seven suitors
Niven, Frederick	1910.0	The island Providence
Oppenheim, James	1910.0	Wild oats
Osborne, William Hamilton	1910.0	The running fight
Paine, Albert Bigelow	1910.0	The hollow tree snowed-in book;
Parker, Gilbert, Sir	1910.0	Cumner's son, and other South Sea folk
Mitchell, S. Weir (Silas Weir)	1910.0	Far in the forest
Mitchell, S. Weir (Silas Weir)	1910.0	Hugh Wynne
Mitchell, S. Weir (Silas Weir)	1910.0	The Red city
Mitchell, S. Weir (Silas Weir)	1910.0	[Works of S. Weir Mitchell]
Mitchell, S. Weir (Silas Weir)	1910.0	[Works of S. Weir Mitchell]
Mitchell, S. Weir (Silas Weir)	1910.0	[Works of S. Weir Mitchell]
Mitchell, S. Weir (Silas Weir)	1910.0	[Works of S. Weir Mitchell]
Mordecai, Margaret	1910.0	The flower of destiny
	1910.0	Mr. Punch at the seaside
	1910.0	Mr. Punch with the children
	1910.0	Mr. Punch's book of love
Nicholson, John Gambril	1910.0	In Carrington's duty-week
Oppenheim, E. Phillips (Edward Phillips)	1910.0	The lost ambassador;
Oppenheim, E. Phillips (Edward Phillips)	1910.0	The new tenant
Orthwein, Edith Hall	1910.0	Love in the weaving
Otis, James	1910.0	The wireless station at Silver Fox Farm
Pratz, C. de (Claire)	1910.0	The education of Jacqueline
Pr??vost, Marcel	1910.0	Simply women
Puddicombe, Anne Adaliza Evans	1908.0	Under the thatch
Ranney, David James	1910.0	Dave Ranney;
Parson, Kirk	1910.0	A fast game
Partridge, Anthony	1910.0	Passers-by
Pilling, William	1910.0	Ponce de Leon
Pumphrey, Margaret B	1910.0	Pilgrim stories
Reeve, Arthur B. (Arthur Benjamin)	1910.0	The silent bullet
Richmond, Grace S. (Grace Smith)	1910.0	Red Pepper Burns
Rinehart, Mary Roberts	1910.0	The window at the White Cat
Robinson, Rowland Evans	1900.0	Uncle Lisha's shop
Schwann, Duncan	1910.0	The book of a bachelor
	1910.0	Skid Puffer;
Snaith, J. C. (John Collis)	1910.0	Mrs. Fitz
Rolland, Romain	1910.0	Jean-Christophe
Roy, Lillian Elizabeth	1910.0	The seedlings' harvest
Savile, Frank	1910.0	The pursuit
Schock, Georg	1910.0	Hearts contending
Seawell, Molly Elliot	1910.0	The marriage of Theodora
Shackelford, Ethel	1910.0	The life of me
Shedd, George C. (George Clifford)	1910.0	The princess of Forge
Shoop, Max	1910.0	The fable of Economy Isle
Sparhawk, Frances C. (Frances Campbell)	1910.0	Dorothy Brooke's vacation
Sparrow, M. Dunton	1910.0	Hereford;
Stacpoole, H. De Vere (Henry De Vere)	1910.0	Fanny Lambert, a novel
Sterns, Justin	1910.0	Osru;
Stuart, Ruth McEnery	1910.0	The unlived life of little Mary Ellen
Taylor, Mary Imlay	1910.0	Caleb Trench
Tompkins, Juliet Wilbor	1910.0	The top of the morning
Stockley, Cynthia	1910.0	Poppy : the story of a South African girl
	1910.0	Too many women
Tracy, Louis	1910.0	Cynthia's chauffeur
Travers, John	1910.0	Sahib-log
Turner, Ethel Sybil	1910.0	Fair Ines
Turner, George Frederic	1910.0	Gloria
Von Hutten, Bettina	1910.0	The green patch
Wharton, Edith	1910.0	Tales of men and ghosts
Van Vorst, Marie	1910.0	First love
Van Vorst, Marie	1910.0	The girl from his town
Walsh, William Thomas	1910.0	The mirage of the many
Warden, Florence	1910.0	The dazzling Miss Davison
Warner, Anne	1910.0	Just between themselves
Warner-Reitz, Anne	1910.0	Susan Clegg; her friend and her neighbors
Wason, Robert Alexander	1910.0	The steering wheel
Watson, Gilbert	1910.0	Forbidden ground
Whitelaw, David	1910.0	Moon of valleys
Whitlock, Brand	1910.0	The gold brick
Whitman, Stephen French	1910.0	Predestined, a novel of New York life
Wilmot-Buxton, E. M	1910.0	Stories from old French romance
Winfield, Arthur M	1910.0	The Rover boys at college; or, The right road and the wrong
Wylie, I. A. R. (Ida Alexa Ross)	1910.0	The rajah's people
Woodrow, Wilson, Mrs	1910.0	The beauty
Wylie, I. A. R. (Ida Alexa Ross)	1910.0	The native born
Gribachev, N. (Nikolaĭ)	1910.0	August stars
M. J. F	1910.0	The making of Jim O'Neill
Macdonald, Alexander	1910.0	In search of El Dorado
Macdonald, Robert M	1910.0	The moon god's secret
Meek, George	1910.0	George Meek
Parker, Gilbert, Sir	1910.0	Cumner's son
Hancock, H. Irving (Harrie Irving)	1910.0	The high school pitcher;
Craig, Florence S	1910.0	The Barnes family : a smile on every page
Eager, James Henry Lovell	1910.0	Courtship under contract
Caffyn, Kathleen Mannington (Hunt)	1910.0	Dorinda and her daughter
Crockett, S. R. (Samuel Rutherford)	1910.0	The dew of their youth
Hope, Anthony	1910.0	Second string
Harrison, Elizabeth	1910.0	Misunderstood children;
Lane, John	1910.0	According to Maria
Le Queux, William	1910.0	The mysterious three
Littlejohn, Agnes	1910.0	Mirage of the desert
Loti, Pierre	1910.0	The marriage of Loti (Rarahu)
Northcliffe, Alfred Harmsworth	1910.0	The world's greatest books
Prince, Edward	1910.0	Wake up, England!
Quiller-Couch, Arthur Thomas, Sir	1910.0	Lady Good-for-nothing
Service, Robert W	1910.0	The trail of '98
Trowbridge, W. R. H. (William Rutherford Hayes)	1910.0	A beau sabreur, Maurice de Saxe, marshal of France
Rutherford, Mark	1910.0	Miriam's schooling
Wilcox, Ella Wheeler	1910.0	A woman of the world;
Hewlett, Maurice Henry	1910.0	Little novels of Italy
Taylor, Emerson Gifford	1910.0	A daughter of Dale
Somerville, E. ??	1910.0	All on the Irish shore
Belloc, Hilaire	1910.0	Pongo and the bull
De Morgan, William Frend	1910.0	An affair of dishonour
Lester, Henry F. W	1910.0	Indian village pictures
Campan	1910.0	Memoirs of Marie Antoinette, queen of France and wife of Louis XVI
Carmichael, Winifred	1910.0	The photograph
Faber, M. A	1910.0	Recollections of Indian life
Hawke, Jonathan	1910.0	Under the street lamp
Kleiser, Grenville	1910.0	Stories that take
Quiller-Couch, Arthur Thomas, Sir	1910.0	Corporal Sam
Racowitza, Helene von	1910.0	Princess Helene von Racowitza
Raffalovich, George	1910.0	The deuce and all
Soutar, Andrew	1910.0	The chosen of the gods
Whiting, Robert Rudd	1910.0	Four hundred good stories
Byron, May Clarissa Gillington	1910.0	A day with Charles Dickens
Hall, Evelyn Beatrice	1910.0	Basset
Adam, Hargrave Lee	1910.0	The police encyclopaedia
Hewlett, Maurice Henry	1910.0	Letters to Sanchia upon things as they are
Garland, Hamlin	1910.0	Cavanagh, forest ranger
Stockton, Frank R. (Frank Richard)	1902.0	Round-about rambles in lands of fact and fancy
Putnam Weale, B. L. (Bertram Lenox)	1910.0	The human cobweb; a romance of Peking
Vachell, Horace Annesley	1910.0	The other side
Mason, Benjamin F. (Benjamin Franklin)	1910.0	The village mystery
Mighels, Philip Verrill	1910.0	The furnace of gold
Finnemore, John	1910.0	The lone patrol
Raine, William MacLeod	1910.0	Bucky O'Connor : a tale of the unfenced border
Benson, E. F. (Edward Frederick)	1910.0	The fascinating Mrs. Halton
Sampson, George	1910.0	A day with Felix Mendelssohn Bartholdy
Jaques, E. T. (Edward Tyrrell)	1910.0	Rambles with an American
Gough, Thomas Bunbury	1910.0	Boyish reminiscences of His Majesty the King's visit to Canada in 1860
Bronson, Edgar Beecher	1910.0	Cowboy life on the Western Plains;
Binnie-Clark, Georgina	1910.0	A summer on the Canadian prairie
Wright, Sidney Harry	1910.0	Adventures in the Arctic regions. Romantic incidents & perils of travel, sport, and exploration around the poles
Burnett, Frances (Hodgson)	1910.0	Lindsay's luck; a fascinating love story
Hughes, Marion	1910.0	Oklahoma Charley
Duncan, Sara Jeannette	1910.0	The burnt offering
	1910.0	Her Highness; an Adirondack romance
Browne, George Waldo	1910.0	Ruel Durkee, master of men
Armstrong, Maurice McNeill	1910.0	In the shadow of San Juan
Phelps, Elizabeth Stuart	1910.0	A chariot of fire
	1910.0	Masterpieces of the world's best literature
	1910.0	Masterpieces of the world's best literature
	1910.0	Masterpieces of the world's best literature
McDonald, Etta Austin (Blaisdell), Mrs	1910.0	Betty in Canada
McDonald, Etta Austin (Blaisdell), Mrs	1910.0	Fritz in Germany
Askew, Alice	1910.0	The rod of justice
D'Annunzio, Gabriele	1910.0	The intruder, a novel
Quarrie, George	1910.0	Within a Jersey circle;
Dawson, Warrington	1910.0	The scar
Miller, Henry Russell	1910.0	The man higher up : a story of the fight, which is life and the force, which is love
Landau, Leo A	1910.0	The big cinch : a society and financial novel
Hammarström, Nanny	1910.0	The adventures of two ants
Breck, Edward	1910.0	Wilderness pets at Camp Buckshaw
Caldwell, Frank	1910.0	Wolf the storm leader
Reynolds, Stephen Sydney	1910.0	Alongshore, where man and the sea face one another
Davis, Richard Harding	1910.0	Once upon a time
pseud. Rockwood, Roy	1910.0	Through space to Mars; or, The longest journey on record
Dudley, Albertus T. (Albertus True)	1910.0	At the home plate
Gilchrist, Beth Bradford	1910.0	Captain of the school team
Grey, Zane	1910.0	The young forester
Farnol, Jeffery	1910.0	The money moon : a romance
Waters, Russell Judson	1910.0	El estranjero : (The stranger): a story of Southern California
Grissom, Irene Welch	1910.0	The superintendent
Le Queux, William	1910.0	The great god gold
McElroy, John	1910.0	Si Klegg; his transformation from a raw recruit to a veteran
Brooks, Eva Cannon	1910.0	Francisco, our little Argentine cousin
Lucia, Rose	1910.0	Stories of American discoveries for little Americans
Secretan, J. H. E. (James Henry Edward)	1910.0	Out west
Văcărescu, Elena	1910.0	Royal lovers; the adventures of two empresses
Otterbein, Anna M. (Anna Mary)	1910.0	A victim of his duty, or, a hero of the confessional
Albee, John	1910.0	Confessions of boyhood
Hutchins, Frank	1910.0	Houseboating on a colonial waterway
Appleton, Victor	1910.0	Tom Swift and his airship
Appleton, Victor	1910.0	Tom Swift and his motor boat
Spooner, Cecil	1910.0	The fortunes of Betty : a sweet and tender romance of an old soldier's daughter
Robinson, Anna	1910.0	The chatterbox book of soldiers and sailors
Douglas, Alan	1910.0	Tenderfoot squad : or, Camping at Raccoon Lodge
Ely, Wilmer M. (Wilmer Mateo)	1910.0	The boy chums in the forest, or Hunting for plume birds in the Florida Everglades
Baker, Etta Anthony	1910.0	Frolics at Fairmount
Fillmore, Parker	1910.0	The hickory limb
Beach, Edward Latimer	1910.0	An Annapolis first classman
Hancock, H. Irving (Harrie Irving)	1910.0	The high school freshmen; or, Dick & co.'s first year pranks and sports
Hancock, H. Irving (Harrie Irving)	1910.0	Uncle Sam's boys in the ranks; or, Two recruits in the United States army
Hanson, Joseph Mills	1910.0	With Sully into the Sioux land
Sheppard, W. Crispin (William Crispin)	1910.0	The Rambler club in the mountains
Sabin, Edwin L. (Edwin Legrand)	1910.0	Range and trail; or, The Bar B's great drive
Wells, Carolyn	1910.0	Marjorie in command
Otis, James	1910.0	The minute boys of Boston
Chadwick, Lester	1910.0	The rival pitchers; a story of college baseball
Stratemeyer, Edward	1910.0	Dave Porter at Star ranch
Bonehill, Ralph	1910.0	Out with gun and camera : or the boy hunters in the mountains
Stratemeyer, Edward	1910.0	The Putnam hall encampment; or, The secret of the old mill
Young, Martha	1910.0	Somebody's little girl
Briggs, Olive M. (Olive Mary)	1910.0	The fir and the palm
Berkeley, John	1910.0	A modern revolt from Rome
Beyerle, Lincoln Hamlin	1910.0	The quitters
Fraser, Georgia	1910.0	Crow-Step
Batchelor, David O. (David Oren)	1910.0	The unstrung bow : a story of conquest
Chalmers, Stephen	1910.0	When love calls men to arms : an autobiography of love and adventure, truthfully set down by Rorie Maclean, Laird of Kilellan, in the seventeenth century, and here rewritten from the original ms. into clearer English
Freeman, Mary Eleanor (Wilkins), Mrs	1910.0	The green door
Allen, Frank Waller	1910.0	The golden road
Breckenridge, Bertha Anna Kelsey	1910.0	Mahanomah
Dudley, E. Lawrence (Edward Lawrence)	1910.0	The Isle of Whispers; a tale of the New England seas
Chater, Melville	1910.0	The eternal rose : a story without a beginning or an end
Goodloe, Abbe Carter	1910.0	The star-gazers
Hughes, Rupert	1910.0	The gift-wife
Eastman, Elaine Goodale	1910.0	Little Brother o' Dreams
Hughes, Thomas J	1910.0	His better self; a novel
Dodd, Anna Bowman	1910.0	In and out of a French country-house
Constantini, Anna Miller	1910.0	Ragna, a novel
Gouraud, Aimée Crocker	1910.0	Moon-madness, and other fantasies
Klein, Charles	1910.0	John Marsh's millions : a novel
Cutting, Mary Stewart Doubleday	1910.0	The unforeseen
Granville-Barker, Helen	1910.0	An apprentice to truth
Barber, Marcin	1910.0	Britz, of headquarters
Barbour, Ralph Henry	1910.0	The golden heart
Barnaby, Horace Thomas	1910.0	The water scandal; a story of political and municipal graft and corruption
Bartlett, Frederick Orin	1910.0	The seventh noon
Green, Anna Katharine	1910.0	The house of the whispering pines
Payson, William Farquhar	1910.0	Periwinkle, an idyl of the dunes
Davis, Schroeder	1910.0	The storm birds
Davis, Yorke	1910.0	The green cloak
Mapes, Victor	1910.0	The gilded way : a novel
Vaka, Demetra	1910.0	The duke's price
Marcin, Max	1910.0	Are you my wife?
MacGowan, Alice	1910.0	The sword in the mountains
Jackson, Frederick	1910.0	The hidden princess; a modern romance
Perry, Lawrence	1910.0	Dan Merrithew
Martin, Helen Reimensnyder	1910.0	The crossways
Merrow, Florenz S	1910.0	The reconstruction of Elinore Wood
Buck, Charles Neville	1910.0	The key to yesterday
Barron, Edward	1910.0	The eleventh hour
Barron, Edward	1910.0	The lady of the spur
Irwin, Will	1910.0	The readjustment
McClung, Nellie L	1910.0	The second chance
Otis, Alexander	1910.0	The man and the dragon
Palmer, Frederick	1910.0	Danbury Rodd, aviator
Parrish, Randall	1910.0	Don MacGrath : a tale of the river
Patten, Harrison	1910.0	The town and the trust : a novel
Richmond, Grace S. (Grace Smith)	1910.0	On Christmas day in the evening
Mearns, Lillian Hathaway	1910.0	A Philippine romance
Mears, Mary M. (Mary Martha)	1910.0	Rosamond the second : being the true record of the unparalleled romance of one Claudius Fuller
Pittman, H. D. (Hannah Daviess)	1910.0	Go forth and find
Raphael, Alice	1910.0	The fulfillment
Ray, Anna Chapin	1910.0	Over the quicksands
Wallin, Clarence Monroe	1910.0	Gena of the Appalachians
Richards, Laura Elizabeth Howe	1910.0	Up to Calvin's
Richardson, Norval	1910.0	The lead of honour
Townsend, Metta Folger	1910.0	In the Nantahalas
Baker, Ray Stannard	1910.0	Adventures in friendship
Otis, James	1910.0	"The wreck of the ""Ocean Queen"": a story of the sea"
Rowland, Henry C. (Henry Cottrell)	1910.0	In the service of the princess
Thompson, Charles Miner	1910.0	An army mule
Scott, Leroy	1910.0	The shears of destiny
Woodrow, Nancy Mann Waddel	1910.0	The beauty
Coolidge, Asenath Carver	1909.0	Human beings vs. things
Morgan, Jacque Lloyd	1910.0	"The invaders : a story of the ""Hole-in-the-wall"" country"
Vance, Louis Joseph	1910.0	The fortune hunter
Wells, Carolyn	1910.0	Betty's happy year
	1910.0	The confession of a rebellious wife
Montagu, Gordon	1910.0	Glen Ellyn, paint maker : the original paint novel
Mulford, Clarence Edward	1910.0	Hopalong Cassidy
Munn, Charles Clark	1910.0	The castle builders
White, Fred M. (Fred Merrick)	1910.0	Hard pressed
Johnston, Annie F. (Annie Fellows)	1910.0	Mildred's inheritance; Just her way; Ann's own way;
Byron, May Clarissa Gillington	1910.0	A day with Robert Louis Stevenson
Lippmann, Julie Mathilde	1910.0	Dorothy Day; a story for girls
Boyles, Kate	1910.0	The spirit trail
Biss, Gerald	1910.0	The fated five : a tale
Sinclair, Upton	1910.0	Samuel the seeker
Townley, Houghton	1910.0	The gay Lord Waring
Wason, Robert Alexander	1910.0	Happy Hawkins
Courlander, Alphonse	1910.0	Uncle Polperro
Quick, Herbert	1910.0	Aladdin & Co., a romance of Yankee magic
Capes, Bernard Edward Joseph	1910.0	Why did he do it?
Calthrop, Dion Clayton	1910.0	Tinsel and gold
Bosworth, Foster, Mrs	1910.0	The Monteiths
Annesley, Maude	1910.0	Wind along the waste
Carey, Wymond	1910.0	Love, the judge
Bindloss, Harold	1910.0	Masters of the wheat-lands
Clifford, W. K., Mrs	1910.0	Sir George's objection
Bindloss, Harold	1910.0	A prairie courtship
Bindloss, Harold	1910.0	Sydney Carteret, rancher
Cooley, Stoughton	1910.0	The captain of the Amaryllis
Diver, Maud	1910.0	Captain Desmond, V.C
Dorrington, Albert	1910.0	Our lady of darkness
Malet, Lucas	1910.0	The golden galleon
Bryant, Marguerite	1910.0	Anne Kempburn, truthseeker
Dawson, W. J. (William James)	1910.0	One night in Bethlehem : a Christmas story
Dickinson, Marion	1909.0	The 'cello and other stories
Brown, Vincent	1910.0	The screen
Jack, Ellen E. (Ellen Elliott)	1910.0	Fate of a fairy
Tynan, Katharine	1910.0	Men, not angels : and other tales told to girls
Healy, Cahir	1910.0	The escapades of Candy Corrigan; an amusing series of Irish fireside stories
Dehan, Richard	1910.0	One braver thing
Hunt, Violet	1910.0	The wife of Altamont
Macbeth, Madge Hamilton Lyons	1910.0	The winning game
Bailey, H. C. (Henry Christopher)	1910.0	Storm and treasure
Maxwell, W. B. (William Babington)	1910.0	The rest cure : a novel
Patterson, J. E. (John Edward)	1910.0	Tillers of the soil
Hyde, John Dalison	1910.0	The feet of the years
Macnaughtan, S. (Sarah)	1910.0	The Andersons
Lubbock, Basil	1910.0	Deep sea warriors
Luby, James	1910.0	The Black Cross Clove : a story and a study
Oppenheim, E. Phillips (Edward Phillips)	1910.0	The mystery of Mr. Bernard Brown
Oppenheim, E. Phillips (Edward Phillips)	1910.0	Passers-by
Montgomery, K. L	1910.0	The Cardinal's pawn : how Florence set, how Venice checked, and how the game fell out
Montgomery, L. M. (Lucy Maud)	1910.0	Kilmeny of the orchard
Lawrence, Lady	1910.0	The faithful failure
Barclay, Florence L. (Florence Louisa)	1910.0	The mistress of Shenstone
Gilson, Charles	1910.0	The refugee : the strange story of Nether Hall
Johnson, Elizabeth	1910.0	The game of the golden ball
Perrin, Alice	1910.0	The spell of the jungle
Upton, Charles Elmer	1910.0	Down Wild Goose Canyon
Bindloss, Harold	1910.0	Thurston of Orchard Valley
Smith, Annie S. Swan	1910.0	A vexed inheritance
Upward, Allen	1910.0	Lord Alistair's rebellion
Barclay, Florence L. (Florence Louisa)	1910.0	The wheels of time
Reynolds, Baillie, Mrs	1910.0	The girl from nowhere
Reynolds, Baillie, Mrs	1910.0	Out of the night
Wedgwood, A. F	1910.0	the shadow of a Titan
Stacpoole, H. De Vere (Henry De Vere)	1910.0	The drums of war
Tuck, Clyde Edwin	1910.0	The Bald Knobbers : a romantic and historical novel
Wemyss, Mary C. E	1910.0	The professional aunt
Bushnell, Belle Johnston	1910.0	John Arrowsmith-planter
Gallon, Tom	1910.0	The rogue's heiress; a novel
King, Alix	1910.0	The romance of a monk
Lee, Susan Richmond, Mrs	1910.0	Wayward Anne
Hersey, Clara Sherman	1910.0	Shell and kernel; a neighborhood story of country life in New England
Little, M	1910.0	At the sign of the burning bush
Perrin, Alice	1910.0	The charm
Carroll, Clarence F. (Clarence Franklin)	1910.0	A reader for the fourth grade
Roe, Clifford Griffith	1910.0	Panders and their white slaves
Bailey, Carolyn Sherwin	1910.0	For the children's hour
Carroll, Clarence F. (Clarence Franklin)	1910.0	A third reader
	1910.0	The story teller
Carter, Thomas	1910.0	Stories from Shakespeare
Strong, James C. (James Clark)	1910.0	Biographical sketch of James Clark Strong
Garis, Howard Roger	1910.0	Dick Hamilton's cadet days : or, The handicap of a millionaire's son
Bertelli, Luigi	1910.0	The prince and his ants (Ciondolino)
Gates, Josephine Scribner	1910.0	Sunshine Annie
Payson, Howard	1910.0	The boy aviators in record flight; or, The rival aeroplane
Goldfrap, John H	1910.0	The boy aviators' treasure quest; or, The golden galleon
Goldsborough, Edmund K	1910.0	The dream adventures of little Bill;
Gilchrist, Annie Somers	1910.0	The night-rider's daughter
Harbaugh, T. C. (Thomas Chalmers)	1910.0	Middletown Valley in song and story
Hinman, Elizabeth Trowbridge Egleston	1910.0	Naya; a story of the Bighorn country
Johnson, Owen	1910.0	The humming bird
	1910.0	The smile on the face of the tiger; a collection of limericks
Knight, Adele Ferguson	1910.0	Mademoiselle Celeste; a romance of the French Revolution
Jones, S. Carleton	1910.0	Out of Drowning Valley
Boyns, R. E. (Richard Edward)	1910.0	The Pharisee and the Publican
Long, Lily A. (Lily Augusta)	1910.0	The red house on Rowan Street
Norton, Roy	1910.0	The garden of fate
Lyle, Eugene P. (Eugene Percy)	1910.0	Blaze Derringer
Lee, Jennette	1910.0	"Happy Island : a new ""Uncle William story"""
Hopkins, William John	1910.0	The meddlings of Eve
Lewis, E. C	1910.0	Ain't it awful
Stevenson, Burton Egbert	1910.0	The path of honor : a tale of the war in the Bocage
Smith, F[rank] Berkeley	1910.0	A village of vagabonds
Foster, W. Bert (Walter Bertram)	1910.0	With Ethan Allen at Ticonderoga
Jackson, Gabrielle E. (Gabrielle Emilie)	1910.0	The adventures of Tommy Postoffice; the true story of a cat
Seibert, Venita	1910.0	"The gossamer thread : being the chronicles of Velleda, who understood about ""the different world"""
Johnston, Annie F. (Annie Fellows)	1910.0	Mary Ware, the Little Colonel's chum
Hare, Thomas Truxtun	1910.0	Making the freshman team
Cameron, F. Marie (Fannie Marie)	1910.0	Voices of the wild; allegories. A plea for all homeless wild creatures, especially the deer and birds
Wales, Hubert	1910.0	The wife of Colonel Hughes
Leblanc, Maurice	1910.0	The hollow needle : an adventure story
McKishnie, Archie P	1910.0	Love of the wild
Roberts, Charles George Douglas, Sir	1910.0	Kings in exile
Wilde, Oscar	1900.0	The complete works of Oscar Wilde : together with essays and stories by Lady Wilde
Wilde, Oscar	1900.0	The complete works of Oscar Wilde : together with essays and stories by Lady Wilde
Wilde, Oscar	1900.0	The complete works of Oscar Wilde : together with essays and stories by Lady Wilde
Andreyev, Leonid	1910.0	Silence and other stories;
	1910.0	American
	1910.0	American
	1910.0	American
	1910.0	Russian; Scandinavian
Onions, Oliver	1910.0	The exception
Harris, Corra	1910.0	A circuit rider's wife
Rolleston, T. W. (Thomas William)	1910.0	Myths & legends of the Celtic race
Slater, Oscar	1910.0	Trial of Oscar  Slater
Boccaccio, Giovanni	1910.0	The Decameron
Boccaccio, Giovanni	1910.0	The Decameron
Kelly, Myra	1910.0	Little aliens / by Myra Kelly
Crockett, S. R. (Samuel Rutherford)	1910.0	Love's young dream
Forman, Justus Miles	1910.0	Bianca's daughter : a novel
Barr, Robert	1910.0	The sword maker
Webster, Henry Kitchell	1910.0	The sky-man
Phillips, Arthur S. (Arthur Sherman)	1910.0	My wilderness friends
Halsted, Leonora B	1910.0	A victorious life
Hare, T. Truxtun (Thomas Truxtun)	1910.0	A senior quarter-back
Hamilton, Cosmo	1910.0	The infinite capacity : the story of a genius
Wright, Mabel Osgood	1910.0	Princess Flower Hat : a comedy from the perplexity book of Barbara the commuter's wife
Arkins, Frank J. (Francis Joseph)	1910.0	The mystery of Bonanza Trail
	1910.0	Fraternity; a romance
Chambers, Robert W. (Robert William)	1910.0	Ailsa Paige : a novel
Thanet, Octave	1910.0	By inheritance
Wallace, Kathryn	1910.0	Folk-lore of Ireland ; legends, myths and fairy tales
Orczy, Emmuska Orczy, Baroness	1910.0	Lady Molly of Scotland Yard
Tolstoy, Leo, graf	1910.0	Master and man, and other parables and tales
Bangs, John Kendrick	1910.0	Mollie and the Unwiseman abroad
Hall, Thornton	1910.0	Love intrigues of royal courts
Wilson, Elijah Nicholas	1910.0	Among the Shoshones
Sr., Hale, Edward Everett	1909.0	The man without a country and My double
Hicks, John	1910.0	Something about Singlefoot : chapters in the life of an Oshkosh man
Hubbard, Elbert	1910.0	The mintage: being ten stories & one more
Meredith, George	1909.0	Rhoda Fleming
Meredith, George	1909.0	Evan Harrington
Meredith, George	1909.0	Vittoria
Meredith, George	1909.0	Vittoria
Meredith, George	1909.0	The adventures of Harry Richmond
Meredith, George	1909.0	The adventures of Harry Richmond
Meredith, George	1909.0	The Egoist
Meredith, George	1909.0	The Egoist
Meredith, George	1909.0	The tragic comedians
Roberts, Margaret	1910.0	The atelier du Lys : or, An art student in the reign of terror
Oxenham, John	1910.0	Lauristons
Millard, Bailey	1910.0	The Sea Hawk
Mathewson, Christy	1910.0	Won in the ninth
Locke, William John	1910.0	A Christmas mystery
Tompkins, Juliet Wilbor	1910.0	Mothers and fathers
Appleton, Victor	1910.0	Tom Swift and his submarine boat, or, Under the ocean for sunken treasure
Knight, Goodwin	1910.0	Good's budget
